ID,Group,Species,Taxa,x,y,z,variance
bPskrD,D3,Psittacula krameri,Aves,-0.018661704,0.00034869584,-0.6199027,
bPskrE,E,Psittacula krameri,Aves,1.3912419,-0.20160824,-1.0037305,
bPyadB,B,Pygoscelis adeliae,Aves,-1.3323687,2.2117927,-0.42929357,
bPyadC,C,Pygoscelis adeliae,Aves,0.105221175,-0.0468645,-0.12580515,
bPyadD,D3,Pygoscelis adeliae,Aves,-0.2539907,-0.24441934,-0.5485811,
bSecoD,D3,Setophaga coronata coronata,Aves,-0.039555594,0.17567548,-0.41627023,
bSecoE,E,Setophaga coronata coronata,Aves,1.0203143,-0.42265937,-1.0401609,
bStocB,B,Strix occidentalis caurina,Aves,-1.4426588,2.1628277,-0.38644615,
bStocC,C,Strix occidentalis caurina,Aves,-0.010909897,-0.13199632,-0.09566674,
bStocD,D3,Strix occidentalis caurina,Aves,-0.23138751,-0.19270948,-0.5307133,
bStocE,E,Strix occidentalis caurina,Aves,0.97107303,-0.4071716,-0.9418951,
bUrpeB,B,Urile pelagicus,Aves,-1.3494481,2.1996741,-0.48434588,
bUrpeC,C,Urile pelagicus,Aves,0.33756825,0.07255479,-0.18572353,
bUrpeD,D3,Urile pelagicus,Aves,-0.3683689,-0.30130747,-0.4190241,
cAlmiC,C,Alligator mississippiensis,Crocodylia,-0.034243457,-0.28587136,-0.5735112,
cAlmiD1,D1,Alligator mississippiensis,Crocodylia,-0.39872545,-0.22918294,0.32959217,
cAlmiD3,D3,Alligator mississippiensis,Crocodylia,-0.4523568,-0.48619547,0.1575962,
cAlmiE,E,Alligator mississippiensis,Crocodylia,-0.46550697,-0.53267694,0.24985744,
cAlsiC,C,Alligator sinensis,Crocodylia,-0.6990905,-0.1845449,-0.3792326,
cAlsiD3,D3,Alligator sinensis,Crocodylia,-0.5439643,-0.40878543,0.1701808,
cAlsiE,E,Alligator sinensis,Crocodylia,-0.46550697,-0.53267694,0.24985744,
cChmyD1,D1,Chelonia mydas,Testudines,0.37814063,-0.030519519,-0.017628467,
cChmyD3,D3,Chelonia mydas,Testudines,-0.17151739,-0.6112065,-0.020935789,
cChmyF,F,Chelonia mydas,Testudines,-0.077659644,-0.37151495,-0.053914774,
cChpiD1,D1,Chrysemys picta bellii,Testudines,0.5895398,-0.13876514,0.007258935,
cChpiD2,D2,Chrysemys picta bellii,Testudines,0.20194137,-0.40682426,-0.28963435,
cChpiD3,D3,Chrysemys picta bellii,Testudines,-0.8322674,-0.45264876,0.16692209,
cChpiF,F,Chrysemys picta bellii,Testudines,-0.17470936,-0.444433,0.03076492,
cCrpoC,C,Crocodylus porosus,Crocodylia,-0.27006966,-0.2673503,-0.55192095,
cCrpoD1,D1,Crocodylus porosus,Crocodylia,-0.44328836,-0.24042962,0.40400267,
cCrpoD3,D3,Crocodylus porosus,Crocodylia,-0.37880343,-0.43362862,-0.021601098,
cCrpoE,E,Crocodylus porosus,Crocodylia,-0.21637708,-0.49999043,0.19529536,
cGavganC,C,Gavialis gangeticus,Crocodylia,-0.053305935,-0.24968018,-0.6675287,
cGavganD1,D1,Gavialis gangeticus,Crocodylia,-0.44550952,-0.2298477,0.38346192,
cGavganD3,D3,Gavialis gangeticus,Crocodylia,-0.34998158,-0.47936878,0.04482076,
cGavganE,E,Gavialis gangeticus,Crocodylia,-0.45788473,-0.3856898,0.38212273,
cGoagD1,D1,Gopherus agassizii,Testudines,0.49270213,-0.26833257,0.06766446,
cGoagD2,D2,Gopherus agassizii,Testudines,0.40328324,-0.32210514,-0.4638882,
cGoagD3,D3,Gopherus agassizii,Testudines,-0.40183997,-0.26716286,-0.097481176,
cGoagE,E,Gopherus agassizii,Testudines,0.2946235,-0.50806177,-0.19137423,
cGoagF,F,Gopherus agassizii,Testudines,0.054226555,-0.4585482,0.017684642,
cPesiD1,D1,Pelodiscus sinensis,Testudines,0.32211107,-0.047790993,-0.06445212,
cPesiD2,D2,Pelodiscus sinensis,Testudines,0.58387214,-0.26053143,-0.40434802,
cPesiD3,D3,Pelodiscus sinensis,Testudines,-0.038284283,-0.34978533,0.16959871,
cPesiE,E,Pelodiscus sinensis,Testudines,0.7070473,-0.24911377,-0.34070736,
cPesiF,F,Pelodiscus sinensis,Testudines,-0.11707936,-0.42968714,-0.11016917,
mAifuC,C,Ailurus fulgens styani,Placentalia,2.529413,0.4384028,0.94750303,
mAifuD,D1,Ailurus fulgens styani,Placentalia,-0.03692318,-0.29447293,-0.042151596,
mAifuE,E,Ailurus fulgens styani,Placentalia,1.7005807,0.12767793,-0.59083927,
mAifuF,F,Ailurus fulgens styani,Placentalia,-1.1817989,0.22853112,0.4542478,
mAifuV,V,Ailurus fulgens styani,Placentalia,-0.79752195,-0.08583243,-0.044346064,
mAimeC,C,Ailuropoda melanoleuca,Placentalia,3.225798,0.5597282,0.84633714,
mAimeDa,D1,Ailuropoda melanoleuca,Placentalia,-0.2015729,-0.14480728,0.061505184,
mAimeDb,D1,Ailuropoda melanoleuca,Placentalia,-0.2015729,-0.14480728,0.061505184,
mAimeE,E,Ailuropoda melanoleuca,Placentalia,2.0173733,0.26370132,-0.67980874,
mAimeF,F,Ailuropoda melanoleuca,Placentalia,-1.0834533,0.08208525,0.47001198,
mBibiA2,A,Bison bison bison,Placentalia,-0.60425353,-0.29312652,-0.076384656,
mBibiA3,A,Bison bison bison,Placentalia,-0.4232647,-0.3843043,-0.26526663,
mBibiA4,A,Bison bison bison,Placentalia,0.028781071,-0.19053404,-0.5493425,
mBibiC,C,Bison bison bison,Placentalia,2.967222,0.51646644,0.7771498,
mBibiDa,D1,Bison bison bison,Placentalia,-0.019518584,0.010310423,0.35139078,
mBibiDb,D1,Bison bison bison,Placentalia,-0.08220983,-0.0087064775,0.3893237,
mBibiE,E,Bison bison bison,Placentalia,2.7779765,0.13073434,-0.68669033,
mBibiF,F,Bison bison bison,Placentalia,-1.0183572,-0.05797119,0.42775896,
mBotaA,A,Bos taurus,Placentalia,-0.4489529,-0.4343639,-0.26039448,
mBotaA2,A,Bos taurus,Placentalia,0.05279628,-0.15693857,-0.5600361,
mBotaA3,A,Bos taurus,Placentalia,-0.60425353,-0.29312652,-0.076384656,
mBotaA5,A,Bos taurus,Placentalia,-1.4749055,0.072423115,0.5650168,
mBotaC,C,Bos taurus,Placentalia,3.0152178,0.54142135,0.7859357,
mBotaDa,D1,Bos taurus,Placentalia,-0.021439582,0.040332913,0.3611193,
mBotaDb,D1,Bos taurus,Placentalia,-0.32675865,0.037682172,0.45720893,
mBotaE,E,Bos taurus,Placentalia,2.8475454,0.16977836,-0.72289693,
mBotaF,F,Bos taurus,Placentalia,-1.1232456,0.049949396,0.46658617,
mBotaV,V,Bos taurus,Placentalia,-0.78984535,-0.00818557,0.20950648,
mCahiA,A,Capra hircus,Placentalia,-0.49900368,-0.2532061,-0.106584586,
mCahiA2,A,Capra hircus,Placentalia,-0.63963825,-0.24349238,-0.149941,
mCahiA4,A,Capra hircus,Placentalia,-2.0291486,0.68968266,0.7947056,
mCahiA5,A,Capra hircus,Placentalia,-0.68951654,-0.0109140845,-0.16767466,
mCahiC,C,Capra hircus,Placentalia,2.882547,0.4692955,0.86689305,
mCahiDa,D1,Capra hircus,Placentalia,-0.35802022,-0.17269692,0.2612025,
mCahiDb,D1,Capra hircus,Placentalia,-0.09050506,-0.19022109,0.17217919,
mCahiE,E,Capra hircus,Placentalia,2.3880255,0.2793301,-0.7473994,
mCahiF,F,Capra hircus,Placentalia,-1.0102872,0.14086664,0.40679294,
mCahiV,V,Capra hircus,Placentalia,-0.55381095,0.12013777,-0.011362607,
mCaluC,C,Canis lupus familiaris,Placentalia,3.0217202,0.48029828,0.9537141,
mCaluD,D1,Canis lupus familiaris,Placentalia,0.3290859,0.001977561,-0.02365355,
mCaluE,E,Canis lupus familiaris,Placentalia,2.0937133,0.28421292,-0.78896934,
mCaluF,F,Canis lupus familiaris,Placentalia,-1.259164,0.021475712,0.5647891,
mCaluV,V,Canis lupus familiaris,Placentalia,-0.6684264,-0.052914128,-0.07475485,
mChlaA2,A,Chinchilla lanigera,Placentalia,-1.0302173,-0.08584491,0.18223205,
mChlaA3,A,Chinchilla lanigera,Placentalia,-0.38050097,-0.42989436,-0.62636966,
mChlaA4,A,Chinchilla lanigera,Placentalia,-0.0032925212,-0.3163538,-0.8640873,
mChlaC,C,Chinchilla lanigera,Placentalia,2.7843697,0.26265085,0.8763898,
mChlaD,D1,Chinchilla lanigera,Placentalia,-0.68331474,0.04693771,0.16427311,
mChlaE,E,Chinchilla lanigera,Placentalia,1.0996814,0.07599093,-0.3153493,
mChlaF,F,Chinchilla lanigera,Placentalia,-1.4015338,0.28083488,0.56038725,
mChlaV,V,Chinchilla lanigera,Placentalia,-0.84408855,-0.15219899,0.10459221,
mCocrA2,A,Condylura cristata,Placentalia,-0.19637622,-0.42441761,-0.816364,
mCocrA3,A,Condylura cristata,Placentalia,-0.587625,-0.3226545,-0.51367337,
mCocrD,D1,Condylura cristata,Placentalia,-0.060578607,-0.24299315,-0.06876721,
mCocrE,E,Condylura cristata,Placentalia,1.7270911,0.1824575,-0.5599892,
mCocrF,F,Condylura cristata,Placentalia,-1.1133591,0.20663163,0.44722813,
mCocrV,V,Condylura cristata,Placentalia,-0.8795992,0.0551605,-0.0050994824,
mDanoA,A,Dasypus novemcinctus,Placentalia,-0.019376365,-0.16641526,-0.6826305,
mDanoC,C,Dasypus novemcinctus,Placentalia,3.0610778,0.6049305,0.8444726,
mDanoD,D1,Dasypus novemcinctus,Placentalia,0.25507736,0.2859784,-0.17249234,
mDanoF,F,Dasypus novemcinctus,Placentalia,-1.333989,0.59630615,0.46266255,
mDanoV,V,Dasypus novemcinctus,Placentalia,-0.74451303,0.2747002,-0.023081677,
mEledA1,A,Elephantulus edwardii,Placentalia,-0.8809546,-0.4907028,0.17971393,
mEledA2,A,Elephantulus edwardii,Placentalia,-0.33268297,-0.56256324,-0.4547324,
mEledA3,A,Elephantulus edwardii,Placentalia,-0.8160097,-0.33399802,0.103560776,
mEledD,D1,Elephantulus edwardii,Placentalia,-0.4501529,-0.40532807,0.10961068,
mEledE,E,Elephantulus edwardii,Placentalia,2.076408,0.2113352,-0.5258878,
mEledF,F,Elephantulus edwardii,Placentalia,-1.2286655,0.16113299,0.4631375,
mEledV,V,Elephantulus edwardii,Placentalia,-0.67839277,0.053658623,-0.035435956,
mEnluC,C,Enhydra lutris kenyoni,Placentalia,2.7055948,0.49232292,0.90818685,
mEnluD,D1,Enhydra lutris kenyoni,Placentalia,-0.20777704,-0.16944818,0.11153387,
mEnluE,E,Enhydra lutris kenyoni,Placentalia,1.9820732,0.25533083,-0.75577086,
mEnluF,F,Enhydra lutris kenyoni,Placentalia,-1.220587,0.18244556,0.5324549,
mEnluV,V,Enhydra lutris kenyoni,Placentalia,-0.39082482,0.09422128,-0.10707742,
mEqcaA,A,Equus caballus,Placentalia,0.26589173,-0.35958722,-0.90250075,
mEqcaC,C,Equus caballus,Placentalia,3.0033994,0.4963823,0.9242833,
mEqcaD,D1,Equus caballus,Placentalia,0.19151424,-0.10869705,0.124876246,
mEqcaE,E,Equus caballus,Placentalia,2.6176803,0.3136436,-0.64920557,
mEqcaF,F,Equus caballus,Placentalia,-1.2592754,0.103643864,0.44548863,
mEqcaV,V,Equus caballus,Placentalia,-0.6290659,0.103510894,-0.008960272,
mEreuA1,A,Erinaceus europaeus,Placentalia,-0.31157634,-0.42711142,-0.33102182,
mEreuA10,A,Erinaceus europaeus,Placentalia,-1.3690089,0.09275659,0.13454638,
mEreuA11,A,Erinaceus europaeus,Placentalia,-1.3156024,0.15037537,-0.00068927807,
mEreuA12,A,Erinaceus europaeus,Placentalia,-1.3176085,0.2119486,-0.021863574,
mEreuA13,A,Erinaceus europaeus,Placentalia,-0.63358396,-0.28662547,0.1596422,
mEreuA14,A,Erinaceus europaeus,Placentalia,-0.90527743,-0.15980798,0.18735553,
mEreuA15,A,Erinaceus europaeus,Placentalia,-1.6000208,0.29177776,0.3845679,
mEreuA2,A,Erinaceus europaeus,Placentalia,-0.26667207,0.10801655,-0.3881382,
mEreuA3,A,Erinaceus europaeus,Placentalia,-1.0679922,-0.32125053,0.12436832,
mEreuA5,A,Erinaceus europaeus,Placentalia,-1.7584985,0.05496574,0.5862834,
mEreuA6,A,Erinaceus europaeus,Placentalia,-1.7698368,0.062885776,0.5034716,
mEreuA7,A,Erinaceus europaeus,Placentalia,-1.4564538,-0.23355392,0.21588393,
mEreuA8,A,Erinaceus europaeus,Placentalia,-1.5736396,-0.1338579,0.35780337,
mEreuA9,A,Erinaceus europaeus,Placentalia,-1.2144086,0.11267043,-0.025291847,
mEreuC,C,Erinaceus europaeus,Placentalia,2.6007557,0.8211956,0.806885,
mEreuD,D1,Erinaceus europaeus,Placentalia,-0.09300503,0.2677624,-0.10970615,
mEreuE,E,Erinaceus europaeus,Placentalia,1.760763,0.31726047,-0.4623228,
mEreuF,F,Erinaceus europaeus,Placentalia,-1.3401608,0.4105288,0.56950927,
mEreuV,V,Erinaceus europaeus,Placentalia,-0.66586924,0.4043647,-0.069131985,
mFecaD,D1,Felis catus,Placentalia,0.24385692,0.007080607,0.030318307,
mFecaE,E,Felis catus,Placentalia,2.2391136,0.46105817,-0.6353841,
mFecaF,F,Felis catus,Placentalia,-1.1582237,0.048273493,0.53615135,
mFecaV,V,Felis catus,Placentalia,-0.693528,0.06711286,-0.058028124,
mHeglA1,A,Heterocephalus glaber,Placentalia,-0.7008917,-0.13909325,-0.066829376,
mHeglA2,A,Heterocephalus glaber,Placentalia,-0.114963114,-0.4824532,-0.52327436,
mHeglA3,A,Heterocephalus glaber,Placentalia,-0.26365355,-0.22317234,-0.75510263,
mHeglD,D1,Heterocephalus glaber,Placentalia,-0.37436864,-0.025446592,-0.03748589,
mHeglE,E,Heterocephalus glaber,Placentalia,1.267476,0.1791333,-0.38243893,
mHeglF,F,Heterocephalus glaber,Placentalia,-1.3707224,0.25142446,0.55437267,
mHeglV,V,Heterocephalus glaber,Placentalia,-0.7925839,-0.14791377,0.013028147,
mHosaA,A,Homo sapiens,Placentalia,0.28527033,-0.2876026,-0.90323323,
mHosaD,D1,Homo sapiens,Placentalia,0.3706252,-0.11557255,-0.03470844,
mHosaE,E,Homo sapiens,Placentalia,2.8105824,0.19312818,-0.5901386,
mHosaF,F,Homo sapiens,Placentalia,-1.1439773,0.28819317,0.5081905,
mHosaV,V,Homo sapiens,Placentalia,-0.7748237,-0.08052879,-0.0516516,
mLoafA1,A,Loxodonta africana,Placentalia,0.016861234,-0.3979832,-0.5616769,
mLoafA2,A,Loxodonta africana,Placentalia,-0.13341425,-0.42048398,-0.7492206,
mLoafC,C,Loxodonta africana,Placentalia,3.13536,0.4272963,0.9666541,
mLoafD,D1,Loxodonta africana,Placentalia,-0.086362675,0.07701031,0.18845685,
mLoafE,E,Loxodonta africana,Placentalia,1.9162507,0.14462513,-0.45662555,
mLoafF,F,Loxodonta africana,Placentalia,-1.2972114,0.28374988,0.52671206,
mLoafV,V,Loxodonta africana,Placentalia,-0.8824994,-0.12581648,0.0044629793,
mMamaA1,A,Marmota marmota marmota,Placentalia,-0.23343395,-0.4653579,-0.6623492,
mMamaD,D1,Marmota marmota marmota,Placentalia,-0.14847104,-0.10499475,-0.019207608,
mMamaE,E,Marmota marmota marmota,Placentalia,2.2347658,0.14119866,-0.6995833,
mMamaF,F,Marmota marmota marmota,Placentalia,-1.3091315,0.2831497,0.51030415,
mMamaV,V,Marmota marmota marmota,Placentalia,-0.80979365,-0.013589464,-0.019599289,
mMimuA,A,Microcebus murinus,Placentalia,-0.92502207,-0.4023302,0.11693945,
mMimuC,C,Microcebus murinus,Placentalia,2.6979418,0.36537686,1.0049199,
mMimuD,D1,Microcebus murinus,Placentalia,-0.36528298,-0.3397437,0.08016599,
mMimuE,E,Microcebus murinus,Placentalia,2.4334695,0.19275534,-0.50791264,
mMimuF,F,Microcebus murinus,Placentalia,-1.1583586,0.3409072,0.49379435,
mMimuV,V,Microcebus murinus,Placentalia,-0.48837072,0.257338,-0.30668977,
mModoC,C,Monodelphis domestica,Marsupialia,2.0223017,0.052542496,0.5555101,
mModoD,D1,Monodelphis domestica,Marsupialia,-0.3553632,-0.34158358,0.13945828,
mModoE,E,Monodelphis domestica,Marsupialia,1.0829805,-0.23496321,-0.20304288,
mModoF,F,Monodelphis domestica,Marsupialia,-1.2035717,-0.078848764,0.6459846,
mModoV1,V,Monodelphis domestica,Marsupialia,-0.17251298,-0.6691326,-0.46608025,
mModoV2,V,Monodelphis domestica,Marsupialia,-0.94838315,-0.34939447,0.5533654,
mMumuA,A,Mus musculus,Placentalia,-0.28569695,-0.3363684,-0.37209073,
mMumuC,C,Mus musculus,Placentalia,3.3439124,0.19418393,0.8409577,
mMumuD,D1,Mus musculus,Placentalia,0.1342951,-0.3969216,-0.08918946,
mMumuE,E,Mus musculus,Placentalia,2.1544983,0.057142917,-0.4984331,
mMumuF,F,Mus musculus,Placentalia,-1.5396028,0.15205677,0.55003726,
mMumuV,V,Mus musculus,Placentalia,-0.62201536,-0.14343767,0.17647526,
mMupuC,C,Mustela putorius furo,Placentalia,2.857502,0.49075204,0.96423525,
mMupuD,D1,Mustela putorius furo,Placentalia,0.06988881,-0.067183256,0.22589107,
mMupuE,E,Mustela putorius furo,Placentalia,1.9217483,0.21784236,-0.696443,
mMupuF,F,Mustela putorius furo,Placentalia,-1.1506164,0.19204804,0.49434125,
mMupuV,V,Mustela putorius furo,Placentalia,-0.7110975,-0.11076834,-0.028333686,
mMyluA1,A,Myotis lucifugus,Placentalia,-0.39235234,-0.21653415,-0.1214778,
mMyluA2,A,Myotis lucifugus,Placentalia,-0.4325628,-0.14905813,-0.14301677,
mMyluA4,A,Myotis lucifugus,Placentalia,-0.045130383,-0.33530766,-0.71576285,
mMyluC,C,Myotis lucifugus,Placentalia,3.243091,0.40944684,0.94201106,
mMyluD,D1,Myotis lucifugus,Placentalia,-0.14352813,0.10258327,-0.026956921,
mMyluE,E,Myotis lucifugus,Placentalia,1.4975092,0.0325347,-0.46086985,
mMyluF,F,Myotis lucifugus,Placentalia,-1.1578729,0.06868263,0.39638475,
mMyluV,V,Myotis lucifugus,Placentalia,-0.7067448,-0.26137006,0.09636904,
mNescD,D1,Neomonachus schauinslandi,Placentalia,-0.120355025,-0.19541079,0.11294267,
mNescE,E,Neomonachus schauinslandi,Placentalia,2.3476136,0.47843957,-0.6855412,
mNescF,F,Neomonachus schauinslandi,Placentalia,-1.2783482,0.3004872,0.5424398,
mNescV,V,Neomonachus schauinslandi,Placentalia,-0.35401094,0.030189497,-0.22131109,
mOcprA1,A,Ochotona princeps,Placentalia,-0.1876603,-0.5783508,-0.14437321,
mOcprA2,A,Ochotona princeps,Placentalia,-0.023260016,-0.10959269,-1.0395668,
mOcprA3,A,Ochotona princeps,Placentalia,-0.48394647,-0.46678957,-0.011324565,
mOcprC,C,Ochotona princeps,Placentalia,2.438209,0.40131423,0.89167434,
mOcprD,D1,Ochotona princeps,Placentalia,-0.12599291,-0.16272004,0.07338291,
mOcprE,E,Ochotona princeps,Placentalia,2.3061237,0.3357575,-0.6380236,
mOcprF,F,Ochotona princeps,Placentalia,-1.3698759,0.34659815,0.47497004,
mOcprV,V,Ochotona princeps,Placentalia,-0.79771084,0.033842027,-0.11833886,
mOdviA1,A,Odocoileus virginianus texanus,Placentalia,-0.6346348,-0.27073562,-0.18467888,
mOdviA2,A,Odocoileus virginianus texanus,Placentalia,-0.16750635,-0.39336005,-0.36026326,
mOdviA3,A,Odocoileus virginianus texanus,Placentalia,-0.062413093,-0.030249044,-0.29245687,
mOdviC,C,Odocoileus virginianus texanus,Placentalia,3.1941888,0.40329966,0.9194015,
mOdviD,D1,Odocoileus virginianus texanus,Placentalia,-0.34133512,-0.008515705,0.18646668,
mOdviE,E,Odocoileus virginianus texanus,Placentalia,2.2147071,0.31611627,-0.74749804,
mOdviF,F,Odocoileus virginianus texanus,Placentalia,-0.9894783,0.014675711,0.38672,
mOdviV,V,Odocoileus virginianus texanus,Placentalia,-0.79480034,0.07983643,0.18903328,
mOran2,D1,Ornithorhynchus anatinus,Monotremata,-1.1824526,0.34790063,0.41279137,
mOran3,V,Ornithorhynchus anatinus,Monotremata,0.11069726,-0.3476279,-0.34313163,
mOran4,D1,Ornithorhynchus anatinus,Monotremata,-0.8493352,0.26728702,0.04647705,
mOranD,D1,Ornithorhynchus anatinus,Monotremata,-0.071647964,-0.008723268,-0.21474631,
mOranE,E,Ornithorhynchus anatinus,Monotremata,0.88783747,-0.10237859,-0.43974632,
mOranF,F,Ornithorhynchus anatinus,Monotremata,-1.2438579,-0.026361693,0.6825739,
mOrcuA1,A,Oryctolagus cuniculus,Placentalia,0.07382801,-0.43926567,-0.40378213,
mOrcuA2,A,Oryctolagus cuniculus,Placentalia,0.10873067,-0.47137463,-0.5360706,
mOrcuA3,A,Oryctolagus cuniculus,Placentalia,0.13121225,-0.08843864,-0.9688048,
mOrcuA4,A,Oryctolagus cuniculus,Placentalia,-0.23894358,-0.54459023,-0.3793189,
mOrcuC,C,Oryctolagus cuniculus,Placentalia,2.6705227,0.5118603,0.84956557,
mOrcuD,D1,Oryctolagus cuniculus,Placentalia,0.21119744,0.082623534,-0.04671059,
mOrcuE,E,Oryctolagus cuniculus,Placentalia,2.0469675,0.18584271,-0.66432714,
mOrcuF,F,Oryctolagus cuniculus,Placentalia,-1.3703212,0.28401262,0.5435399,
mOrcuV,V,Oryctolagus cuniculus,Placentalia,-0.8246924,-0.075373776,-0.034844715,
mOrorC,C,Orcinus orca,Placentalia,0.24194916,1.0295336,0.7512058,
mOrorD,D1,Orcinus orca,Placentalia,0.19898632,-0.35947895,0.07206441,
mOrorE,E,Orcinus orca,Placentalia,1.2051651,0.32204878,-0.38229698,
mOrorV,V,Orcinus orca,Placentalia,-0.43221295,0.08951754,-0.24145892,
mOvarA1,A,Ovis aries,Placentalia,-0.6491577,-0.33111992,-0.20023192,
mOvarA2,A,Ovis aries,Placentalia,-0.4781488,-0.25402874,-0.11388491,
mOvarA3,A,Ovis aries,Placentalia,-0.33130845,-0.31287536,-0.394529,
mOvarC,C,Ovis aries,Placentalia,3.0616634,0.5271575,0.88369703,
mOvarD,D1,Ovis aries,Placentalia,-0.19959317,-0.20392646,0.23219067,
mOvarF,F,Ovis aries,Placentalia,-1.0531536,0.07854448,0.4323173,
mPahoA1,A,Pantholops hodgsonii,Placentalia,-0.663806,-0.24262977,-0.17576714,
mPahoA3,A,Pantholops hodgsonii,Placentalia,-0.42476392,-0.48846376,-0.11562319,
mPahoA5,A,Pantholops hodgsonii,Placentalia,-0.21125999,-0.3831683,-0.46305782,
mPahoC,C,Pantholops hodgsonii,Placentalia,3.0042462,0.40416518,0.9499632,
mPahoD,D1,Pantholops hodgsonii,Placentalia,-0.20945963,-0.050232153,0.10166618,
mPahoE,E,Pantholops hodgsonii,Placentalia,2.6365032,0.20239945,-0.7494298,
mPahoF,F,Pantholops hodgsonii,Placentalia,-1.0142702,0.020557445,0.40404305,
mPahoV,V,Pantholops hodgsonii,Placentalia,-0.6469081,0.008019213,0.0018527798,
mPatiC,C,Panthera tigris altaica,Placentalia,2.7202616,0.43622527,0.86245126,
mPatiD,D1,Panthera tigris altaica,Placentalia,0.2808603,0.05595754,0.017034063,
