id,pharmacologicalFamily,cysteineFramewrok
P03670,alpha conotoxin,I
P03671,alpha conotoxin,I
P03672,alpha conotoxin,I
P03673,alpha conotoxin,I
P03674,alpha conotoxin,I
P03675,alpha conotoxin,I
P03676,alpha conotoxin,I
P03677,alpha conotoxin,I
P03678,alpha conotoxin,I
P03679,alpha conotoxin,I
P03680,alpha conotoxin,I
P03681,alpha conotoxin,I
P03682,alpha conotoxin,I
P03683,alpha conotoxin,I
P03684,alpha conotoxin,I
P03685,alpha conotoxin,I
P03752,alpha conotoxin,I
P03833,alpha conotoxin,I
P03834,mu conotoxin,III
P03892,alpha conotoxin,I
P03893,alpha conotoxin,
P03894,alpha conotoxin,I
