Name,Exon count,Source,Assigned group,x,y,z,variance
Cafl547V3,5.0,Predicted,Venom Allergen 3,-0.23119443317968744,0.3640113347094381,-0.0682587050805257,
Ceca227Gol,3.0,Predicted,Golgi-associated plant pathogenesis-related protein,-0.14880521543453573,-0.34170682630028754,0.29558466788254306,
Ceca342V3,5.0,Predicted,Venom Allergen 3,-0.4651642293477656,-0.3772936856283729,-0.02368279275415044,
Ceca358V3,6.0,Predicted,Venom Allergen 3,-0.464690041250002,-0.3344007796259782,0.18729088329631105,
Ceca565Ub,2.0,Predicted,NA,1.2593627147058226,-0.14493445443140368,-0.1417477681631241,
Ceca565V3a,5.0,Predicted,Venom Allergen 3,-0.4363132602013677,-0.15211382306021967,-0.06386771215261876,
Ceca565V3e,5.0,Predicted,Venom Allergen 3,-0.3574830873502318,0.18939955078914716,-0.19486520113455763,
Ceca565V5c,2.0,Predicted,Venom Allergen 5,-0.18277228844548854,0.18802693514797444,0.02381587828088792,
Ceca565V5f,5.0,Predicted,Venom Allergen 5,-0.2374622401943309,0.11446342970891159,-0.16635835092099133,
Ceca565d,3.0,Predicted,Venom Allergen 5.02,-0.2219808394705888,0.3612700909864313,-0.09532804890189697,
Ceca567a,4.0,Predicted,NA,-0.009595501694100943,0.5313370904415654,0.3470002586248742,
Ceca567b,3.0,Predicted,Venom Allergen 5,-0.3564387791685514,0.20896077428180843,-0.4505926019237517,
Ceci403aV5,6.0,Predicted,Venom Allergen 5,-0.14768853019333977,0.32059936947787776,-0.036044394248137074,
Ceci832aC2,5.0,Predicted,CRiSP,-0.21406895638736714,-0.03287992197869422,0.14115431816991877,
Ceci865aV3,5.0,Predicted,Venom Allergen 3,-0.4704472151166815,-0.2112774247375432,0.00094964049278025,
Ceci865bU,3.0,Predicted,NA,1.1064172340059562,-0.00700825974728454,-0.018370756184580478,
Cogi004aU,2.0,Predicted,NA,1.2606193836386093,-0.1693224556507694,-0.16656821949713665,
Cogi004bU,6.0,Predicted,NA,-0.23923065285601536,0.010887449378635892,0.1303341978339653,
Cogi014,3.0,Predicted,NA,0.033497093249094875,0.9059698453375844,0.03323248432985355,
Duno895b,3.0,Predicted,Venom Allergen 5,-0.512713158144063,0.15173017516636866,-0.4177869050988951,
Duno917U,2.0,Predicted,NA,1.2573126819234453,-0.11485333124661122,-0.21099368203484795,
Duno986V3,7.0,Predicted,Venom Allergen 3,-0.3980465376917981,-0.3383282573076259,0.12206213529362149,
EAT39749_1_AAEL008479_PA_Aedes_aegypti,NA,Predicted,NA,0.24416514775936207,-0.2637776871256308,0.42527949565789985,
Eudi193aU,2.0,Predicted,NA,1.3260151505284075,-0.3059160293149554,-0.24333023073961377,
Eudi508aU,3.0,Predicted,NA,-0.5499163090583287,0.3987705437422471,-0.5418017848295195,
Eudi940aU,2.0,Predicted,NA,-0.3813356440984919,-0.0033170944387127493,0.12188945573236808,
Eume048,2.0,Predicted,NA,0.4077378479222339,0.30169626002969613,0.5179850866527891,
Eume479V5,7.0,Predicted,Venom Allergen 5,-0.389814625351656,-0.2914175724009643,0.08297672001958167,
Eume639U,2.0,Predicted,NA,1.1958533215486296,-0.1854649842232314,-0.17205941649186843,
Eume878V5,4.0,Predicted,Venom Allergen 5,-0.49307460507326667,0.5113941611230505,-0.5282319525886876,
Frva326a,3.0,Predicted,NA,-0.10333335677968478,0.8668436587019641,-0.10237114291679208,
Frva326b,2.0,Predicted,NA,0.43347079387662957,0.5729195459422398,0.2461142328943151,
Frva326c,1.0,Predicted,NA,0.46310577649544343,0.5888320158934798,0.5751718743447802,
Frva454,3.0,Predicted,NA,-0.5336524357106103,-0.0847515313516999,0.029412187731372483,
Frva558,2.0,Predicted,NA,1.3405999810177407,-0.2364447853975684,-0.3546469486451843,
Hala137b,3.0,Predicted,Venom Allergen 5.02,-0.38434187648080304,0.49918192904232084,-0.27320621317138155,
Hala140aU,2.0,Predicted,NA,1.2048169946197502,-0.26359829898837317,-0.2455412151881554,
Hala140bV3,5.0,Predicted,Venom Allergen 3,-0.4685964794087687,-0.3818482597401926,-0.06934217132342138,
Hala429V51,7.0,Predicted,Venom Allergen 5.01,-0.39880623428968043,-0.2697892675873948,0.12528560703793834,
Halictus_D1973,NA,Proteome,NA,-0.09601604814678719,-0.30966646066714126,0.2906197948741171,
Hasa183a,4.0,Predicted,Venom Allergen 5,0.018827813589941816,0.4861246793549134,0.08203163994539482,
Hasa183b,2.0,Predicted,NA,0.9662279955602114,0.16097539956706172,-0.07730071177853232,
Hasa183c,2.0,Predicted,NA,0.8417302828248534,0.28977806968052783,0.217930971316218,
Hasa425V3,4.0,Predicted,Venom Allergen 3,0.06471934918627206,0.38786782672037845,0.11964704588388393,
Hasa700aV3,7.0,Predicted,Venom Allergen 3,-0.1488751919483516,0.15347041947819415,0.1654860083938275,
Hasa700bV5,7.0,Predicted,Venom Allergen 5,-0.42637674160685135,-0.27256593731645734,0.11480783177587378,
KDR20657_1_Golgi_associated_plant_pathogenesis_related_protein_1_Zootermopsis_nevadensis,NA,Predicted,Golgi-associated plant pathogenesis-related protein,0.21490658848808533,-0.2815050964285697,0.36859018933912996,
Lihu620,6.0,Predicted,Venom Allergen 3,-0.3319490210271509,0.21973583136118321,-0.1327012025010279,
Lihu699a,5.0,Predicted,Venom Allergen 3,-0.4508596374438313,-0.14079697642940853,-0.07364933635419259,
Lihu699b,6.0,Predicted,Venom Allergen 3,-0.45007038211027445,-0.2092080895532118,-0.08706928673658339,
Lihu699c,2.0,Predicted,NA,0.8621351024390048,0.08579832276506309,0.1427139233446684,
Lihu777a,8.0,Predicted,Venom Allergen 5,0.049154818261369554,0.3170880526222074,0.22597131567613488,
Lihu777b,7.0,Predicted,Venom Allergen 5,-0.42855481096549314,-0.29764877605199014,0.11841434622482898,
Mebec23aU,3.0,Predicted,NA,-0.2209666447123192,0.8043090058530565,-0.2623552832075463,
Mebec60aU,2.0,Predicted,NA,1.35414546457664,-0.16064830645357098,-0.3400144239729293,
Mege668U,2.0,Predicted,NA,1.3353374585928754,-0.25290674032342647,-0.28391706583460735,
Mege824V52,7.0,Predicted,Venom Allergen 5.02,-0.4040747837431471,-0.2949729283911358,0.1011742836613575,
Mequ243V5,3.0,Predicted,Venom Allergen 5,-0.2646635071836408,0.6101683062504931,-0.1482070757112724,
Mequ706U,2.0,Predicted,NA,1.361399258557737,-0.18410021466201817,-0.36260756710421804,
Mequ746aV5,2.0,Predicted,Venom Allergen 5.02,-0.6148049862475449,0.20174602317491827,-0.5760225631627557,
Mequ746b,3.0,Predicted,NA,0.6688920607689085,0.7837168782436114,0.6502286626277729,
Mero109V5,7.0,Predicted,Venom Allergen 5,-0.3980510646253404,-0.348504651289249,0.09741764096193627,
Mero210aU,3.0,Predicted,NA,0.10027034481129825,0.670394098438664,0.27828664533388536,
Mero210bV52,3.0,Predicted,Venom Allergen 5.02,-0.5465573485457779,0.3936583210830532,-0.5336952144640035,
Mero436a,2.0,Predicted,NA,1.2530590730809301,-0.24627326556921872,-0.24464890070597706,
Mero436bV3,5.0,Predicted,Venom Allergen 3,-0.46838161421580676,-0.3257625941835057,-0.05156664792784618,
Navi758CR_out,5.0,Predicted,CRiSP,-0.19578172083645876,0.01927459571885512,0.18210836254930737,
Navi758V3a,6.0,Predicted,Venom Allergen 3,0.056721332435543816,0.517130550504673,0.14865217667538677,
Navi758V3b,4.0,Predicted,Venom Allergen 3,-0.42202212242341824,-0.16146744245729436,-0.08639413731485855,
Navi759bV5,7.0,Predicted,Venom Allergen 5,-0.09708612567771684,0.05435614916289395,0.1373945386588304,
Navi759cV51,7.0,Predicted,Venom Allergen 5.01,-0.3798957484889051,-0.2775967076754917,0.09788843935005154,
Navi760Ud,4.0,Predicted,NA,-0.46603989155186426,-0.3146761303846413,-0.01507522332302853,
Navi760Ue,5.0,Predicted,NA,-0.4501346665843948,-0.3752257227647844,0.012386711558672683,
Navi760Ug,2.0,Predicted,NA,1.117188864001399,-0.052836525872792806,-0.02373887839315338,
Navi760V3c,5.0,Predicted,Venom Allergen 3,-0.4326797880413692,-0.39457079289992586,0.042784665312572114,
Navi760V5a,5.0,Predicted,Venom Allergen 5,-0.3765481315595869,0.00471755807175488,-0.16611726800446053,
Navi760V5b,5.0,Predicted,Venom Allergen 5,-0.47399997924414805,-0.22074651478994747,-0.03703922128950161,
Navi760V5f,5.0,Predicted,Venom Allergen 5,-0.48321264129706787,-0.3945565254263792,0.02273032192330558,
Nome504V5,7.0,Predicted,Venom Allergen 5,-0.39793145341608865,-0.2652486919202381,0.10497053385625288,
Nome633V3,5.0,Predicted,Venom Allergen 3,-0.43849262415787443,-0.32970505235455605,-0.04578419906813839,
Nome640U,2.0,Predicted,NA,1.295712033865317,-0.19365976729372847,-0.19255838340891937,
Nome755Ub,4.0,Predicted,NA,0.015611390877380697,0.534439344392029,0.2215276278285636,
Nome755V3a,3.0,Predicted,Venom Allergen 3,-0.4216706148918165,0.3784099312432347,-0.35804177483113525,
Odbr457Ub,3.0,Predicted,NA,1.1084682161421613,0.03543051023877159,0.06361555638605779,
Odbr457V3a,5.0,Predicted,Venom Allergen 3,-0.4120062864417041,-0.154357195247996,-0.1810530113342433,
Odbr457V5c,4.0,Predicted,Venom Allergen 5,-0.33249886977857507,0.5712965080792409,-0.37123095193376376,
Odbr534V5a,7.0,Predicted,Venom Allergen 5,-0.42949472875600275,-0.27897056816107574,0.13304469867796917,
Odbr534V5b,7.0,Predicted,Venom Allergen 5,-0.009221888803123392,0.29009071921188917,0.27868654320670977,
Oobi507Ud,2.0,Predicted,NA,0.8489281257983469,0.27353869261489744,0.08329425864617196,
Oobi507V3b,5.0,Predicted,Venom Allergen 3,-0.47411951084408477,-0.3043711125592023,-0.03474856800895449,
Oobi507V3c,5.0,Predicted,Venom Allergen 3,-0.4757708876899336,-0.3067969054319633,-0.07167243397538409,
Oobi515CRa,5.0,Predicted,CRiSP,-0.23135582906722163,0.004028074684480901,0.10333452916195322,
Oobi515CRb,6.0,Predicted,CRiSP,0.02005230413393867,0.4571777759518769,0.2889573126985115,
Oobi515V5c,7.0,Predicted,Venom Allergen 5,-0.43394838216437726,-0.26694680696886686,0.1081597006774506,
Osbi662,7.0,Predicted,repressed by EFG1 protein,0.1655809734194369,-0.26425395295173965,0.38010000703959507,
Osbi697Ua,3.0,Predicted,NA,0.11006923700932567,0.5481856229707702,0.2897429935746241,
Osbi697V3b,3.0,Predicted,Venom Allergen 3,-0.42502666955914264,0.3132043264827922,-0.4005859418719802,
Osbi753Ua,2.0,Predicted,NA,1.3373977294258137,-0.3887546866960815,-0.2310157232872808,
Osbi753V3b,5.0,Predicted,Venom Allergen 3,-0.28423445455574636,-0.06893973565440592,0.08296384813240056,
Osbi753V3d,5.0,Predicted,Venom Allergen 3,-0.4202570004569607,-0.11561805876938844,-0.09093588366215781,
Osbi753V3f,5.0,Predicted,Venom Allergen 3,-0.3757399142441121,-0.028201480444932706,-0.1455344640713573,
Osbi753V3g,5.0,Predicted,Venom Allergen 3,-0.36375544726769016,-0.017520535799311635,-0.0786361525683335,
Osbi753V3h,5.0,Predicted,Venom Allergen 3,-0.3918481823326076,-0.07820210420980575,-0.11842459407397658,
Osbi753V3i,5.0,Predicted,Venom Allergen 3,-0.41816015014157765,-0.09089789234412117,-0.09808659606328159,
Osbi753V5c,5.0,Predicted,Venom Allergen 5,-0.3117114753703315,0.02761074632156115,-0.18342236833519607,
Osbi753V5e,6.0,Predicted,Venom Allergen 5,-0.42692038070687305,-0.023788425945369646,-0.13660816799931214,
Osbi788V5,7.0,Predicted,Venom Allergen 5,-0.3823823731039124,-0.3031781837623372,0.11506119242802268,
Osli250,8.0,Predicted,NA,0.1867697775531993,-0.24881626303992724,0.3990559663956885,
Osli257Ub,5.0,Predicted,NA,-0.4168035362498195,-0.11455304483589221,-0.10344687691051466,
Osli257Uc,5.0,Predicted,NA,-0.373065795654965,-0.058225211117282016,-0.08464841008499682,
Osli257Ud,5.0,Predicted,NA,-0.3588714685686772,0.031729067138450674,-0.1323545771724268,
Osli257Uf,5.0,Predicted,NA,-0.45939143049569936,-0.3180811566782806,-0.06260520288704238,
Osli257Ug,2.0,Predicted,NA,1.3229947172245051,-0.35216904503199137,-0.21707808438104698,
Osli257V3a,5.0,Predicted,Venom Allergen 3,-0.41435509035146995,-0.07691908854505176,-0.10160492805935173,
Osli257V5e,5.0,Predicted,Venom Allergen 5,-0.2528482025914923,0.04839126917771142,-0.15342202804880128,
Osli271V3,6.0,Predicted,Venom Allergen 3,-0.16177412612237413,0.30210532522716005,0.0018108353487260253,
PNF42604_1_Golgi_associated_plant_pathogenesis_related_protein_1_Cryptotermes_secundus,NA,Predicted,Golgi-associated plant pathogenesis-related protein,0.2263658801234646,-0.33555353105223795,0.38322997347229026,
Poca602V5,7.0,Predicted,Venom Allergen 5,-0.38447868771361593,-0.2313366684971264,0.10791065120959102,
Poca736,8.0,Predicted,NA,0.19180244788913364,-0.25858678691180814,0.39489183123434024,
Podo111V5,7.0,Predicted,Venom Allergen 5,-0.3896023430865372,-0.22071079148607375,0.1047721557447019,
Podo995Ua,4.0,Predicted,NA,1.1251555300946627,-0.03652668427080314,-0.03497031195629338,
Podo995V5b,5.0,Predicted,Venom Allergen 5,-0.46817364186355853,-0.3086680592208285,-0.01820482630957495,
Soin529,3.0,Predicted,Venom Allergen 5,0.06526429657822966,0.7738129465912662,0.20717830860470607,
Soin570Ua,3.0,Predicted,NA,0.9862284578406302,0.05517904927717503,0.07487676529443883,
Soin570V3b,5.0,Predicted,Venom Allergen 3,-0.49340111850307256,-0.37565716144695527,-0.019250881942388345,
Soin570V3c,5.0,Predicted,Venom Allergen 3,-0.44406696795235207,-0.32608899255076773,-0.0637439374895678,
Soin570V3d,5.0,Predicted,Venom Allergen 3,-0.4524068237691683,-0.1549512783888192,-0.08947488242667417,
Soin821U,3.0,Predicted,NA,-0.3350888854499964,0.25033511545448317,0.04631102169035638,
Tetac60aU,2.0,Predicted,NA,1.2581595834531694,-0.18001521847319232,-0.26406374452717857,
Tetac70aUx,3.0,Predicted,NA,-0.3015697919523487,0.45442494547358875,-0.2386483158415525,
Tetar14aO,7.0,Predicted,NA,-0.12770663855610795,0.24466086531538855,0.2754243084948525,
Waau459V3b,5.0,Predicted,Venom Allergen 3,-0.2920521274248321,0.16504169306470787,-0.20733831802324398,
Waau605V3b,5.0,Predicted,Venom Allergen 3,-0.43886123357492046,-0.24054985008094396,-0.0765031224703507,
Waau605c,3.0,Predicted,NA,0.9643169392312374,0.17839391035313554,0.17431873644928622,
Waau715V5,7.0,Predicted,Venom Allergen 5,-0.42930689492821206,-0.2600577823321216,0.10051497865118746,
Waau832V3,2.0,Predicted,Venom Allergen 3,-0.5011791551407696,0.4243480548538,-0.39344116140054985,
Waau855a,6.0,Predicted,NA,-0.3242757769941407,0.15888181160955,-0.2397709872386313,
Waau855b,4.0,Predicted,NA,-0.2932840473381957,0.136878512132617,-0.2257522692006118,
Waau863b,2.0,Predicted,NA,-0.3637022367195862,-0.27945436521603956,0.3037786942312644,
Waau894V3,4.0,Predicted,Venom Allergen 3,-0.37608613836206484,0.36341839146691796,-0.3191703478933998,
XP_035911918_1_uncharacterized_protein_LOC118512080_isoform_X1_Anopheles_stephensi,5.0,Predicted,NA,0.24343496854427277,-0.20795034114230174,0.4411776682052003,
Xylocopa_D1360,NA,Proteome,NA,0.2748831691821466,0.09317682110915242,0.4821626729140759,
Xylocopa_D53,NA,Proteome,NA,-0.3453365818036777,-0.17465189051727165,0.08580972070351464,
Xylocopa_N5000,NA,Proteome,NA,0.14145456591283417,0.03160980886041724,0.447751192339382,
Xylocopa_N6624,NA,Proteome,NA,-0.3297283696213799,0.2055644650785963,-0.04402074200287818,
Xylocopa_R2735,NA,Proteome,NA,0.20238075276526488,-0.28322973393150724,0.3802288828981227,
sp_D4P2Y4_VA52_POLPI_Venom_allergen_5_2_Polybia_paulista,NA,Predicted,Venom Allergen 5.02,-0.538479202337824,-0.32460820247842936,-0.0720362327081796,
sp_P0DMB9_VA5_VESVE_Venom_allergen_5_Vespa_velutina,NA,Predicted,Venom Allergen 5,-0.5405156041873921,-0.37361272241141474,-0.06354993421226421,
sp_P10736_VA52_DOLMA_Venom_allergen_5_01_Dolichovespula_maculata,NA,Predicted,Venom Allergen 5.01,-0.44693332691400167,-0.2028101688030777,-0.07812793231265702,
sp_P35759_VA5_POLEX_Venom_allergen_5_Polistes_exclamans,NA,Predicted,Venom Allergen 5,-0.4542454269495798,-0.2345763829422008,-0.03981333434560895,
sp_P35783_VA5_VESFL_Venom_allergen_5_Vespula_flavopilosa,NA,Predicted,Venom Allergen 5,-0.520520171974759,-0.3417607150019495,-0.1132151969655968,
sp_P35784_VA5_VESGE_Venom_allergen_5_Vespula_germanica,NA,Predicted,Venom Allergen 5,-0.5138088772062921,-0.3248497905779191,-0.11612019284019881,
sp_P35787_VA5_VESVI_Venom_allergen_5_Vespula_vidua,NA,Predicted,Venom Allergen 5,-0.5045923614885836,-0.3521494632670909,-0.11144860644891023,
sp_P86686_VA5_POLPI_Venom_allergen_5_Polybia_paulista,NA,Predicted,Venom Allergen 5,-0.511692581778484,-0.2856385309714291,-0.0840446930311914,
sp_P86870_VA5_VESMG_Venom_allergen_5_Vespa_magnifica,NA,Predicted,Venom Allergen 5,-0.4601321751001831,-0.2738463754021988,-0.019198272336350942,
sp_Q05108_VA5_DOLAR_Venom_allergen_5_Dolichovespula_arenaria,NA,Predicted,Venom Allergen 5,-0.540129664048535,-0.4070252967675708,-0.07082022574353598,
sp_Q05110_VA5_VESVU_Venom_allergen_5_Vespula_vulgaris,NA,Predicted,Venom Allergen 5,-0.444426461624804,-0.2122486270386453,-0.09637487795190357,
sp_Q7Z156_VA5_POLSR_Venom_allergen_5_Polybia_scutellaris_rioplatensis,NA,Predicted,Venom Allergen 5,-0.5275838334550288,-0.3233968057812885,-0.08049790544930688,
