Name,no group,x,y,z
ACN,NA,6.9909163,7.2003417,2.7931998
ACO,NA,11.304289,6.558822,2.9856615
ACP,NA,10.923519,6.999445,2.9765365
ACQ,NA,9.953459,6.834471,2.1077344
ACR,NA,11.162585,6.583119,2.8216474
ACS,NA,11.056887,6.9634166,2.946981
ACT,NA,8.002176,3.596749,5.049539
ACU,NA,5.3197117,5.5742965,2.270521
ACV,NA,4.6944747,7.1562524,3.2538
ACW,NA,8.166264,4.489377,6.840156
ACX,NA,3.459554,8.201893,2.734919
ACY,NA,12.194433,10.900764,5.4001474
ACZ,NA,9.915915,6.8959975,2.3409295
ADA,NA,10.923992,5.7180543,5.5699263
ADB,NA,8.165358,6.164848,3.0708592
ADC,NA,8.598391,4.6971383,6.1340327
ADD,NA,9.449261,4.639078,2.7254572
ADE,NA,-0.042046707,0.5379138,-0.08296509
ADF,NA,7.7061644,3.5925071,4.5754466
ADG,NA,7.684827,3.494715,4.8694453
ADH,NA,8.365716,5.2770953,7.0355005
ADI,NA,4.262049,6.212673,2.2488859
ADJ,NA,3.780661,6.2427664,3.2762806
ADK,NA,9.95756,3.9075925,-0.84411323
ADL,NA,2.9850614,7.3501873,3.4410748
ADM,NA,7.327752,7.4988613,3.3287125
ADN,NA,8.976973,6.0350957,4.495109
ADO,NA,5.5696936,7.843463,2.8045259
ADP,NA,5.666585,7.465723,2.7217193
ADQ,NA,10.960527,5.1823983,5.438013
ADR,NA,10.909254,0.99298656,0.6024424
ADS,NA,9.486449,2.279271,1.1061108
ADT,NA,10.965362,5.3029604,4.9910593
ADU,NA,9.9340925,4.136487,-0.9208812
ADV,NA,0.8534666,2.2115653,0.3939262
ADW,NA,4.6592865,7.804916,2.6009755
ADX,NA,8.5176115,5.1418457,7.144201
ADY,NA,9.854832,5.759021,4.778175
ADZ,NA,10.725809,5.919818,3.0524843
AEA,NA,9.251925,6.4101,5.1087604
AEB,NA,9.848416,5.874231,5.1904593
AEC,NA,4.110458,7.99871,2.9685857
AED,NA,10.546312,0.33407605,0.9943883
AEE,NA,9.328003,2.2281475,1.1635916
AEF,NA,10.722481,0.6012809,1.3675258
AEG,NA,10.591949,1.1424105,0.4381372
AEH,NA,10.712125,5.5262876,5.8468633
AEI,NA,5.1760917,6.5232315,2.8350568
AEJ,NA,12.043597,11.430977,5.814962
AEK,NA,3.3178225,8.350654,3.3863053
AEL,NA,11.368364,6.440595,2.9244084
AEM,NA,0.8331324,2.045133,0.013988966
AEN,NA,10.420474,4.0736113,-0.935072
AEO,NA,8.048543,3.8048754,5.2605476
AEP,NA,11.048044,5.8553925,3.0121217
AEQ,NA,0.42822525,1.0580882,-0.20912625
AER,NA,4.807894,5.9751973,2.566064
AES,NA,7.9078436,6.8334575,3.0719156
AET,NA,4.473405,7.659843,3.4767923
AEU,NA,9.016945,6.951534,3.284794
AEV,NA,4.0568857,7.765399,3.8641908
AEW,NA,4.711961,7.9623814,2.6710546
AEX,NA,10.36624,4.7915154,3.9891944
AEY,NA,11.682482,10.710942,5.451552
AEZ,NA,10.422893,0.50174165,1.0379907
AFA,NA,10.171167,6.4488597,2.7315936
AFB,NA,8.568949,4.6925073,6.991713
AFC,NA,8.242103,6.3694882,4.506758
AFD,NA,9.808663,6.5771666,2.2855785
AFE,NA,8.816952,3.3416476,0.4457565
AFF,NA,9.570739,4.010651,1.0504397
AFG,NA,10.070722,3.077758,1.167923
AFH,NA,1.1137565,0.6076606,-0.4356405
AFI,NA,1.1975713,0.341803,-0.5788954
AFJ,NA,1.4087993,0.10778602,-0.6677918
AFK,NA,10.101955,3.8982828,0.94665635
AFL,NA,10.195743,6.986451,2.220478
AFM,NA,9.200268,2.6445146,1.0415909
AFN,NA,10.264503,6.9855194,2.205343
AFO,NA,11.071533,6.456042,2.6649408
AFP,NA,7.9399176,3.9112444,5.364087
AFQ,NA,10.767487,0.42861524,0.36991093
AFR,NA,11.240392,11.157092,5.150148
AFS,NA,10.378276,4.205866,-0.7500622
AFT,NA,10.027198,1.3721911,0.26072642
AFU,NA,5.0645795,7.924092,2.3981879
AFV,NA,7.97575,3.7101178,5.367679
AFW,NA,10.235106,6.4157243,2.2653193
AFX,NA,10.4646635,6.7284765,2.5215783
AFY,NA,9.696213,6.759606,3.205148
AFZ,NA,11.176339,6.5353556,2.754182
AGA,NA,10.236921,5.9038577,2.8018804
AGB,NA,8.556019,5.9974756,5.2448564
AGC,NA,8.253372,5.3494554,6.8870783
AGD,NA,10.683321,6.587868,3.444297
AGE,NA,8.308941,6.439668,4.4543014
AGF,NA,11.0261345,6.754445,3.25932
AGG,NA,8.312757,5.481782,6.6258144
AGH,NA,10.583894,0.87425023,1.3308799
AGI,NA,8.580745,5.4974713,6.502781
AGJ,NA,9.218867,2.0676503,1.1567955
AGK,NA,10.489384,6.7456694,3.3385158
AGL,NA,7.5250516,6.7005424,2.9829378
AGM,NA,9.41459,5.400335,6.1258974
AGN,NA,9.977156,5.3759604,5.3374968
AGO,NA,8.417609,5.2766376,6.6631656
AGP,NA,8.1957445,4.7613826,7.1784115
AGQ,NA,10.404737,5.329433,4.6476746
AGR,NA,10.310229,5.494022,4.3860683
AGS,NA,6.72722,6.636518,3.2966192
AGT,NA,9.515936,5.447488,6.0912323
AGU,NA,10.074489,5.419841,3.0221295
AGV,NA,5.3097496,6.843679,2.4599981
AGW,NA,3.3548632,6.244949,3.3307323
AGX,NA,11.355345,5.7334414,3.2570527
AGY,NA,11.162399,5.5646825,3.2767782
AGZ,NA,7.9571095,3.8131073,4.2223015
AHA,NA,8.698192,4.8629503,7.012382
AHB,NA,10.612739,3.6378453,1.2344971
AHC,NA,10.878654,2.896048,1.2981617
AHD,NA,10.300967,6.216862,4.011543
AHE,NA,11.000009,5.31228,5.3086314
AHF,NA,9.883462,6.4746633,4.5956683
AHG,NA,6.97996,6.878461,2.8810554
AHH,NA,9.155126,5.9394846,5.7163033
AHI,NA,9.519247,5.5902834,4.972343
AHJ,NA,8.087546,3.5908144,4.3607755
AHK,NA,10.6755705,7.0779366,2.4046407
AHL,NA,11.296296,6.107904,3.0153391
AHM,NA,8.142491,6.689595,3.885707
AHN,NA,7.0033746,7.4363117,3.3008606
AHO,NA,4.2416706,8.34264,3.3806374
AHP,NA,3.7181304,6.0973315,3.203687
AHQ,NA,3.7915747,6.184019,3.1497536
AHR,NA,1.275909,1.58959,0.105406
AHS,NA,1.0186027,2.0071003,0.24391715
AHT,NA,0.77694255,1.2791566,-0.1433069
AHU,NA,0.12808187,1.0134743,-0.12031497
AHV,NA,2.2709765,7.1465073,3.734734
AHW,NA,2.5208476,7.6495667,3.1098905
AHX,NA,4.697782,5.944446,2.620043
AHY,NA,4.940186,7.6467013,2.6668835
AHZ,NA,8.978493,5.6052785,6.224258
AIA,NA,5.6405444,7.8067985,2.66823
AIB,NA,5.777267,7.682801,2.7068615
AIC,NA,4.6069717,7.645119,3.3003027
AID,NA,4.4327116,7.6400847,3.366046
AIE,NA,8.222988,4.7890124,7.191585
AIF,NA,12.13147,10.890343,5.175801
AIG,NA,5.348046,6.9550753,3.2272332
AIH,NA,5.1694913,6.947018,3.4171526
AII,NA,3.902407,7.3536086,2.7603307
AIJ,NA,2.8899152,6.374172,3.4441462
AIK,NA,10.428008,3.8640864,0.55512494
AIL,NA,1.1284765,1.1171365,-0.34927347
AIM,NA,3.5013015,7.5952253,3.3128264
AIN,NA,1.6365829,0.8301081,-0.11163245
AIO,NA,1.9222994,1.1167096,-0.082611114
AIP,NA,11.034042,5.779128,2.862245
AIQ,NA,8.085188,4.4649053,6.701004
AIR,NA,10.812362,5.144058,5.330836
AIS,NA,11.115144,5.35372,5.2198915
AIT,NA,4.314471,5.7528505,2.1698186
AIU,NA,3.9759614,7.770769,3.0429866
AIV,NA,9.932872,0.9799712,0.32712546
AIW,NA,9.9587145,1.2436237,0.85061496
AIX,NA,10.353832,4.003804,-0.9250861
AIY,NA,10.705445,3.3719323,0.38609883
AIZ,NA,10.828898,5.3043585,5.3796225
AJA,NA,8.85364,5.654514,6.1704125
AJB,NA,7.253212,7.040064,2.7675655
AJC,NA,9.585715,6.2181506,4.927718
AJD,NA,9.458847,5.799092,4.4322047
AJE,NA,9.603593,6.1047034,4.9327064
AJF,NA,0.30335495,0.60070324,-0.20646319
AJG,NA,0.14325775,0.7489438,-0.23871338
AJH,NA,7.4282246,3.4267647,5.229865
AJI,NA,7.8133845,3.9605126,4.1107793
AJJ,NA,7.6049094,3.2491307,4.9898076
AJK,NA,7.787844,3.674829,4.588357
AJL,NA,7.9092855,3.5279462,4.5563455
AJM,NA,7.735889,3.678928,5.3677773
AJN,NA,7.605407,3.3950577,5.0800886
AJO,NA,7.49748,3.446305,5.118795
AJP,NA,7.8076077,3.6786444,5.0244746
AJQ,NA,7.7582827,3.5608544,5.017008
AJR,NA,8.020085,4.010685,4.174351
AJS,NA,8.244814,4.47894,6.2837305
AJT,NA,8.1174965,4.426352,6.3706913
AJU,NA,10.184517,6.656198,2.8124256
AJV,NA,4.3215384,6.4636602,2.5751765
AJW,NA,4.6459136,7.5444536,2.3720675
AJX,NA,2.9128938,7.988952,3.519742
AJY,NA,3.523875,8.463902,3.2200336
AJZ,NA,2.1731334,7.0929585,3.555011
AKA,NA,10.932594,5.3997145,5.4222374
AKB,NA,2.6858082,7.89999,3.579707
AKC,NA,10.083079,4.1827574,-0.8126289
AKD,NA,10.174056,4.0816975,-0.98875713
AKE,NA,10.471407,3.930362,-0.0119886035
AKF,NA,10.838947,6.397613,3.4599419
AKG,NA,9.277494,6.468727,5.107579
AKH,NA,1.0849954,1.6901604,-0.1760115
AKI,NA,2.3175144,7.1343265,3.4887292
AKJ,NA,2.9576454,7.949385,2.8113177
AKK,NA,3.2764943,8.016604,2.659745
AKL,NA,3.2911882,8.139759,2.83621
AKM,NA,2.3490617,6.613402,3.4865797
AKN,NA,3.1587455,6.24147,3.341658
AKO,NA,2.3714774,7.7838807,3.483366
AKP,NA,2.448782,7.5342474,3.3559844
AKQ,NA,2.457906,7.220981,3.1097121
AKR,NA,12.196463,10.62689,5.894557
AKS,NA,10.942964,5.584522,4.8025136
AKT,NA,10.360823,5.685164,5.0950747
AKU,NA,10.816181,0.16308592,0.794791
AKV,NA,6.793703,7.314679,3.2271266
AKW,NA,0.7214148,1.927626,0.12081255
AKX,NA,4.90782,7.891458,3.069657
AKY,NA,4.4923596,7.775233,2.9889834
AKZ,NA,3.726553,8.190564,2.5528948
ALA,NA,5.621033,7.5403757,2.6226733
ALB,NA,4.7614036,7.6931343,2.433564
ALC,NA,2.232161,7.1470723,3.1732624
ALD,NA,2.0751014,7.749406,3.4731808
ALE,NA,2.8395295,8.040976,3.288181
ALF,NA,3.1242743,8.099743,3.4525385
ALG,NA,10.766156,3.5519712,0.70812273
ALH,NA,1.4632634,1.031595,-0.16294865
ALI,NA,11.013179,0.5838652,0.52580804
ALJ,NA,10.598941,0.41962212,0.32085145
ALK,NA,4.616191,8.118796,2.980918
ALL,NA,0.12162838,0.7530057,-0.2785644
ALM,NA,10.961673,0.5255181,1.5443358
ALN,NA,2.019917,7.084897,3.327265
ALO,NA,1.9612553,6.8210564,3.5215547
ALP,NA,5.3085356,6.478903,2.771352
ALQ,NA,3.3359106,8.355361,3.4875367
ALR,NA,4.5718765,6.9992666,3.0016541
ALS,NA,1.8510989,7.6214595,3.5234332
ALT,NA,1.0798961,1.851146,0.16695075
ALU,NA,1.228339,1.7838278,-0.06424355
ALV,NA,0.98561174,2.1231766,0.1602207
ALW,NA,0.70842546,1.8280641,0.15805374
ALX,NA,9.640628,2.1054783,1.3016144
ALY,NA,2.4820478,7.351387,3.160262
ALZ,NA,11.123867,6.456716,2.7199266
AMA,NA,4.3861737,5.852193,2.2883115
AMB,NA,10.334331,0.65732247,0.44678056
AMC,NA,10.473816,-0.002563807,-0.03297002
AMD,NA,10.96496,0.63237226,0.27789125
AME,NA,10.662374,0.4144644,0.096963756
AMF,NA,11.90975,11.107399,6.6061816
AMG,NA,9.793085,7.1857247,3.3613496
AMH,NA,9.77105,7.2856307,3.1663427
AMI,NA,10.598615,6.327285,2.8817837
AMJ,NA,9.388989,4.715067,2.9140048
AMK,NA,5.4490128,6.1132784,2.8458433
AML,NA,-0.17425415,0.73076564,-0.14193363
AMM,NA,11.402233,4.5610857,3.169231
AMN,NA,11.082435,4.71022,3.244356
AMO,NA,4.263386,8.062078,2.488349
AMP,NA,4.285046,8.160249,2.6257386
AMQ,NA,4.040395,7.63329,2.329481
AMR,NA,3.173026,7.0405927,3.3684466
AMS,NA,2.2391791,6.8425336,3.4534273
AMT,NA,4.198075,7.8357244,2.7878184
AMU,NA,3.755296,8.354109,3.4377217
AMV,NA,3.7113674,8.374949,3.2589912
AMW,NA,3.8653102,7.841286,3.8280303
AMX,NA,2.394704,6.989392,3.5499697
AMY,NA,2.9865928,7.0703673,3.0667286
AMZ,NA,3.3424366,7.883437,3.525553
ANA,NA,4.8401337,7.5304427,3.2734215
ANB,NA,0.88883936,1.9985076,0.37568215
ANC,NA,10.18255,6.8782706,3.1742456
AND,NA,10.161936,5.4367385,4.4598475
ANE,NA,8.568761,5.757532,5.7729735
ANF,NA,11.849248,10.30273,6.311321
ANG,NA,12.133693,10.676674,5.7000737
ANH,NA,11.824225,11.198777,5.0854516
ANI,NA,10.949553,10.814806,5.39347
ANJ,NA,10.029576,3.4556122,1.3425515
ANK,NA,9.08334,5.053095,3.018319
ANL,NA,9.177384,3.473222,0.23874727
ANM,NA,11.350512,11.708559,6.4075294
ANN,NA,11.522202,11.415994,6.4306817
ANO,NA,8.478678,5.309593,6.890949
ANP,NA,8.78735,5.3031507,6.8933854
ANQ,NA,9.834648,5.5818,5.3811307
ANR,NA,8.28733,6.3757935,4.5423
ANS,NA,9.464375,5.7860274,5.3989215
ANT,NA,9.460159,3.5685017,-0.3135221
ANU,NA,6.990448,7.066389,3.295086
ANV,NA,2.8670256,7.7860575,2.9386656
ANW,NA,9.352367,2.634127,0.29762092
ANX,NA,9.2837925,6.8239603,3.0530338
ANY,NA,8.393996,4.9554586,7.256313
ANZ,NA,11.657629,11.184381,5.962999
AOA,NA,10.134804,4.009073,-1.0857414
AOB,NA,8.240732,4.8865285,7.2766666
AOC,NA,8.404995,4.924832,6.571765
AOD,NA,11.031896,1.0293207,1.565444
AOE,NA,10.17574,3.6236458,-0.8352521
AOF,NA,10.594766,3.8544605,-0.8921659
AOG,NA,8.246295,4.7136703,7.0514154
AOH,NA,8.300749,5.402235,6.8073916
AOI,NA,9.555759,5.81167,4.9483547
AOJ,NA,9.779512,5.265456,6.1725554
AOK,NA,7.117353,7.023847,2.9734125
AOL,NA,8.780332,4.9039927,6.321589
AOM,NA,10.559336,6.902693,2.573004
AON,NA,9.42867,7.0091205,3.313325
AOO,NA,10.742321,6.185265,3.1855352
AOP,NA,10.25935,6.866174,3.217477
AOQ,NA,9.690499,7.0603294,3.1076999
AOR,NA,9.609458,6.1930084,2.4133162
AOS,NA,11.256796,6.326373,2.5487473
AOT,NA,8.990645,6.6392307,2.9669662
AOU,NA,9.573911,6.8673882,3.2775245
AOV,NA,11.026414,6.5454316,2.5527585
AOW,NA,10.309685,6.0350094,2.5200925
AOX,NA,10.358986,6.9872503,3.0101676
AOY,NA,8.878677,6.7129965,3.0361116
AOZ,NA,11.2092085,4.6008263,3.0610926
APA,NA,11.088136,4.8917127,3.1045804
APB,NA,11.253142,4.950272,2.9682732
APC,NA,11.327023,4.7205677,2.977358
APD,NA,11.199897,4.829251,3.0521312
APE,NA,9.37077,5.5896845,5.782189
APF,NA,7.422462,7.3941245,3.0828278
APG,NA,7.013429,7.186233,3.1021907
APH,NA,7.769366,6.81581,3.046195
API,NA,7.501251,7.199971,3.3508635
APJ,NA,7.1975856,7.341059,3.5644944
APK,NA,7.39585,7.2863812,3.3900902
APL,NA,6.046961,5.5781565,2.8237414
APM,NA,5.872565,5.5683317,2.9272213
APN,NA,5.68579,5.4428344,2.7610695
APO,NA,5.835764,5.4980826,2.721611
APP,NA,5.873206,5.6712055,2.6840496
APQ,NA,5.7236376,5.785407,2.3239915
APR,NA,5.486288,5.8094325,2.223183
APS,NA,5.79088,5.6689343,2.4881215
APT,NA,5.6488476,5.629391,2.4142096
APU,NA,5.95019,5.611432,2.599641
APV,NA,5.7130933,5.5178633,2.460969
APW,NA,8.880876,5.035413,2.8383062
APX,NA,5.581025,5.538827,2.8492277
APY,NA,9.495364,5.1986437,2.580929
APZ,NA,9.279506,5.1099896,2.3905668
AQA,NA,5.565342,5.9125156,2.7766795
AQB,NA,9.425699,5.2957306,2.5835128
AQC,NA,5.77115,6.069396,2.8797581
AQD,NA,7.9899435,3.508987,5.1227345
AQE,NA,6.469506,6.7158937,3.382122
AQF,NA,10.482228,1.434333,1.0933336
AQG,NA,9.98627,4.861786,2.8313303
AQH,NA,3.479139,7.7991433,3.78989
AQI,NA,11.773139,11.732132,5.97933
AQJ,NA,11.614397,11.927797,5.867238
AQK,NA,11.281606,10.895835,5.484087
AQL,NA,11.5278425,11.786457,6.057252
AQM,NA,10.696587,3.301926,1.1955743
AQN,NA,10.579115,3.3584783,1.3650777
AQO,NA,10.851551,3.088711,1.0380702
AQP,NA,10.176855,3.020007,1.1020844
AQQ,NA,10.277011,3.2056565,1.4201118
AQR,NA,10.240107,6.4707303,3.9650824
AQS,NA,10.106555,6.2399697,3.9486847
AQT,NA,9.865288,7.0671644,3.527393
AQU,NA,5.7880497,6.4099345,2.8374314
AQV,NA,10.749247,5.911708,5.249945
AQW,NA,7.3442264,5.431319,2.735175
AQX,NA,6.9315734,5.4184914,2.7009742
AQY,NA,6.7657895,6.067212,2.938831
AQZ,NA,7.1265745,5.865284,2.840462
ARA,NA,7.249906,5.7921443,2.83454
ARB,NA,11.996034,11.11501,5.6108236
ARC,NA,7.2670326,6.9674125,3.6755447
ARD,NA,4.9166565,6.2208967,2.302855
ARE,NA,4.6169496,5.9729166,2.2405226
ARF,NA,4.763983,6.420439,2.3800368
ARG,NA,9.387759,6.094415,5.291536
ARH,NA,10.2878275,5.5766068,5.5913787
ARI,NA,10.572841,3.7433188,0.8996903
ARJ,NA,1.4455336,0.52164763,-0.2347788
ARK,NA,10.481476,3.4817207,1.2232977
ARL,NA,10.058665,3.2201715,1.1453695
ARM,NA,1.5975577,0.74312466,-0.46741992
ARN,NA,1.4323976,0.50989914,-0.5030977
ARO,NA,1.6765368,0.66934836,-0.5144002
ARP,NA,9.791931,3.6497395,1.403803
ARQ,NA,1.5478851,0.5571069,-0.07738231
ARR,NA,1.0639349,0.2520379,-0.7158267
ARS,NA,0.8363498,0.52996725,-0.50231737
ART,NA,1.2371098,0.43736425,-0.46103567
ARU,NA,1.4051988,0.34308288,-0.31528237
ARV,NA,1.3971864,1.3493558,-0.4378694
ARW,NA,0.68278706,0.6159215,-0.33676106
ARX,NA,1.730554,1.2335073,-0.5611131
ARY,NA,11.004298,9.90652,5.2877846
ARZ,NA,11.688252,10.707307,6.461961
ASA,NA,12.085311,11.041623,6.585831
ASB,NA,12.113651,11.029408,6.4743433
ASC,NA,10.817734,10.176655,5.8671937
ASD,NA,11.073027,11.567795,5.5648475
ASE,NA,11.093801,11.287953,6.309739
ASF,NA,10.944552,9.936218,5.4062343
ASG,NA,11.135757,11.193464,5.7656794
ASH,NA,12.004676,10.754802,4.9857388
ASI,NA,10.056781,8.128013,3.9929545
ASJ,NA,6.2917356,6.551797,3.0412526
ASK,NA,10.023836,4.094495,-0.7052861
ASL,NA,1.6031926,1.2424387,-0.47834378
ASM,NA,9.776985,3.4087331,0.43181756
ASN,NA,9.276962,2.2436655,0.99277014
ASO,NA,3.8562703,8.09447,3.0945916
ASP,NA,5.9090466,7.580015,2.8428009
ASQ,NA,10.178055,7.6271124,4.240006
ASR,NA,10.365125,7.967709,4.310656
ASS,NA,9.573014,5.43422,4.0209727
AST,NA,9.741761,5.6176257,3.8883333
ASU,NA,10.075909,5.514913,4.579852
ASV,NA,4.3934426,5.739696,2.0595663
ASW,NA,10.365821,1.1203003,0.62285435
ASX,NA,7.4485598,7.262998,3.5247364
ASY,NA,11.335615,10.479482,5.3597
ASZ,NA,11.819512,10.551915,4.970572
ATA,NA,7.178384,6.515824,2.9739063
ATB,NA,6.9872227,6.800323,2.929818
ATC,NA,10.858387,5.363849,5.6105695
ATD,NA,7.1699877,7.240008,3.4273584
ATE,NA,7.462779,7.0104423,3.032056
ATF,NA,10.768721,0.9141649,0.28793862
ATG,NA,11.041396,0.43289313,0.32841614
ATH,NA,11.588422,0.5773861,1.0387084
ATI,NA,5.036609,8.011379,2.6979218
ATJ,NA,4.191884,7.1671576,2.4653254
ATK,NA,10.192938,3.8155954,-0.503829
ATL,NA,10.500016,3.4656422,0.15208605
ATM,NA,7.1299515,6.431076,3.202371
ATN,NA,11.746007,10.707994,5.137929
ATO,NA,11.790216,10.494681,5.2219133
ATP,NA,9.698138,3.3568733,1.4636165
ATQ,NA,6.0329304,6.0651536,3.0340827
ATR,NA,-0.18983826,0.93977,0.029601822
ATS,NA,3.6294482,7.380156,3.0656083
ATT,NA,2.74053,8.042005,3.180271
ATU,NA,3.9737444,7.7817283,3.6945844
ATV,NA,3.005231,6.214631,3.5016365
ATW,NA,2.0396514,7.5240173,3.486929
ATX,NA,2.9967577,6.4393106,3.53606
ATY,NA,2.0654197,7.3122687,3.7946072
ATZ,NA,2.768471,6.4128466,3.4266546
AUA,NA,2.650578,7.242368,3.4242818
AUB,NA,1.8157694,7.3353987,3.3444297
AUC,NA,3.1391163,7.9156485,3.4999204
AUD,NA,4.1236987,7.756474,3.841
AUE,NA,3.441608,8.0676,3.5331106
AUF,NA,4.637543,6.492353,2.1763594
AUG,NA,4.4246793,6.754372,2.9371877
AUH,NA,2.5088441,6.6993375,3.3587182
AUI,NA,1.9623274,6.983537,3.3970098
AUJ,NA,3.6438444,7.8874774,3.788758
AUK,NA,8.777822,3.5386195,0.49779454
AUL,NA,8.637661,3.3615549,0.65960073
AUM,NA,8.842681,3.203165,0.3929443
AUN,NA,8.890441,3.3289266,0.3985628
AUO,NA,8.898913,3.429871,0.240896
AUP,NA,0.3537259,1.1896291,-0.0820535
AUQ,NA,5.3892765,5.403798,2.6018124
AUR,NA,2.0148406,7.504227,3.5954354
AUS,NA,10.533908,1.3439696,0.85755354
AUT,NA,10.240536,1.2335798,0.71886003
AUU,NA,10.432417,1.4607795,0.9308107
AUV,NA,0.29462382,0.91773915,-0.4330206
AUW,NA,9.98064,1.5442863,0.42116007
AUX,NA,10.086795,0.9478496,0.25003594
AUY,NA,9.9365635,1.0624336,0.8470613
AUZ,NA,-0.045598086,0.7627472,-0.09262356
AVA,NA,10.0048065,1.4175771,0.53123575
AVB,NA,10.379918,0.15826719,-0.19051369
AVC,NA,11.10845,0.94034195,1.7284055
AVD,NA,11.514795,0.72879237,1.4677619
AVE,NA,9.870333,7.1396194,2.83039
AVF,NA,9.789031,7.7631526,3.7537293
AVG,NA,10.425119,4.6254168,3.9980834
AVH,NA,10.367241,4.6503334,4.1037517
AVI,NA,10.166388,4.724687,4.143658
AVJ,NA,10.44263,4.5358434,4.149616
AVK,NA,10.2504835,4.7273273,4.319002
AVL,NA,9.9603405,8.786647,4.5008554
AVM,NA,9.890186,8.805692,4.619363
AVN,NA,10.935216,10.145069,5.2193336
AVO,NA,10.045002,8.860886,4.619732
AVP,NA,10.96729,11.373534,5.9201455
AVQ,NA,10.047582,8.831741,4.4445243
AVR,NA,9.765197,8.977999,4.338757
AVS,NA,11.126278,11.816648,5.285549
AVT,NA,11.341475,12.137662,5.77506
AVU,NA,9.568185,5.002925,5.201359
AVV,NA,9.155777,4.937226,5.814826
AVW,NA,10.718107,5.980303,5.0709906
AVX,NA,10.517619,2.7666347,0.5999156
AVY,NA,10.726516,6.6904945,2.9618714
AVZ,NA,9.9914875,6.5855584,1.9678736
AWA,NA,10.262621,6.7401333,2.3259583
AWB,NA,10.000612,6.53114,2.3687036
AWC,NA,9.224939,3.6495569,0.82131994
AWD,NA,9.596384,1.7239795,1.364575
AWE,NA,10.127067,2.1682181,0.3290137
AWF,NA,10.068793,2.2684314,0.32335228
AWG,NA,10.163941,3.3383,-0.13996693
AWH,NA,9.749567,3.6792462,0.5645012
AWI,NA,9.117411,3.3411393,0.9062862
AWJ,NA,9.476105,5.107733,3.3899727
AWK,NA,11.01335,0.7600413,1.4701518
AWL,NA,8.745587,3.2329206,0.5061175
AWM,NA,9.243714,3.6177185,0.32583693
AWN,NA,9.575304,3.394343,-0.023423715
AWO,NA,8.704811,3.0043967,0.31505656
AWP,NA,10.06113,3.954855,-0.110181
