mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence
P00028,P00028|Reg1b/Reg1c|Conus regius|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00029,P00029|Reg1d|Conus regius|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00030,"P00030|RgIA [P6O,del13]|Conus regius|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level",Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00031,P00031|Reg1f|Conus regius|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00032,P00032|RegIIA|Conus regius|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00038,P00038|PIB|Conus purpurascens|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus purpurascens,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00039,P00039|MII|Conus magus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus magus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00050,P00050|EI|Conus ermineus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus ermineus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00051,P00051|PnIA|Conus pennaceus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus pennaceus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00074,P00074|GI|Conus geographus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00090,P00090|SII|Conus striatus|Wild type|conotoxin|A superfamily|alpha conotoxin|II|protein level,Conus striatus,Wild type,conotoxin,A superfamily,alpha conotoxin,II,protein level
P00093,P00093|ImI precursor|Conus imperialis|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus imperialis,Precursor,conotoxin,A superfamily,,,nucleic acid level
P00095,P00095|AuIB|Conus aulicus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus aulicus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00098,P00098|GID|Conus geographus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00099,P00099|PnIB|Conus pennaceus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus pennaceus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P02527,P02527|MIVA|Conus magus|Wild type|conotoxin|A superfamily|kappa conotoxin|IV|protein level,Conus magus,Wild type,conotoxin,A superfamily,kappa conotoxin,IV,protein level
P02534,P02534|VxII|Conus vexillum|Wild type|conotoxin|M superfamily||IV|protein level,Conus vexillum,Wild type,conotoxin,M superfamily,,IV,protein level
P00132,P00132|GIC|Conus geographus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|nucleic acid level,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level
P00404,P00404|AuIA|Conus aulicus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus aulicus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00405,P00405|EpI|Conus episcopatus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus episcopatus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00407,P00407|AuIC|Conus aulicus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus aulicus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00594,P00594|CnIB|Conus consors|Wild type|conotoxin|A superfamily||I|protein level,Conus consors,Wild type,conotoxin,A superfamily,,I,protein level
P00595,P00595|PIA|Conus purpurascens|Wild type|conotoxin|A superfamily|alpha conotoxin|I|nucleic acid level,Conus purpurascens,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level
P06668,P06668|ArMLKMS-01|Conus arenatus|Wild type|conotoxin|||IV|nucleic acid level,Conus arenatus,Wild type,conotoxin,,,IV,nucleic acid level
P00795,P00795|CalTx 12.1.1C|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00796,P00796|Cal12.1.1c|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00797,P00797|Cal12.1.1d|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00798,P00798|CalTx 12.1.1F|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00799,P00799|Cal12.1.1e|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00800,P00800|Cal12.1.2a|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00801,P00801|CalTx 12.1.2A|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00802,P00802|Cal12.1.2b|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00803,P00803|Cal12.1.2c|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00804,P00804|Cal12.1.2d|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00805,P00805|CalTx 12.1.3B|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00806,P00806|Cal12.1.2e|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00807,P00807|Cal12.1.2f|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00808,P00808|CalTx 12.1.3E|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00809,P00809|Cal12.1.2g|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00810,P00810|Cal12.1.2h|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00811,P00811|CalTx 12.1.4A|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00812,P00812|CalTx 12.1.4B|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00813,P00813|Cal12.1.3a|Conus californicus|Wild type|conotoxin|O1 superfamily||XII|Unknown,Conus californicus,Wild type,conotoxin,O1 superfamily,,XII,Unknown
P00814,P00814|Cal12.1.3b|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00816,P00816|CalTx 12.1.4E|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00818,P00818|Cal12.2c|Conus californicus|Wild type|conotoxin|||XII|Unknown,Conus californicus,Wild type,conotoxin,,,XII,Unknown
P00828,P00828|R11.1|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00829,P00829|R11.10|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00830,P00830|R11.12|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00831,P00831|R11.13|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00832,P00832|R11.15|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00833,P00833|R11.16|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00834,P00834|R11.11|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00835,P00835|R11.2|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00836,P00836|R11.5|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00837,P00837|R11.18|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00839,P00839|R11.7|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00840,P00840|RXIA|Conus radiatus|Wild type|conotoxin|I1 superfamily|iota conotoxin|XI|protein level,Conus radiatus,Wild type,conotoxin,I1 superfamily,iota conotoxin,XI,protein level
P00841,P00841|R11.17|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00842,P00842|RXIB|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|protein level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,protein level
P00843,P00843|RXID|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|protein level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,protein level
P00844,P00844|R11.3|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P00851,P00851|four-loop conotoxin (partial)|Conus striatus|Wild type|conotoxin||||nucleic acid level,Conus striatus,Wild type,conotoxin,,,,nucleic acid level
P01077,P01077|Im6.8 precursor|Conus imperialis|Precursor|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus imperialis,Precursor,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P01156,P01156|LtVIC precursor|Conus litteratus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus litteratus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P01163,P01163|LtIIIA precursor|Conus litteratus|Precursor|conotoxin|M superfamily|||nucleic acid level,Conus litteratus,Precursor,conotoxin,M superfamily,,,nucleic acid level
P01164,P01164|LtIIIB precursor|Conus litteratus|Precursor|conotoxin|M superfamily|||nucleic acid level,Conus litteratus,Precursor,conotoxin,M superfamily,,,nucleic acid level
P01175,P01175|Contryphan-Lt1 precursor|Conus litteratus|Precursor|contryphan|O2 superfamily|||nucleic acid level,Conus litteratus,Precursor,contryphan,O2 superfamily,,,nucleic acid level
P02496,P02496|Lp1.1|Conus leopardus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|nucleic acid level,Conus leopardus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level
P01266,P01266|conopressin-G|Conus ebraeus|Wild type|conopressin||||protein level,Conus ebraeus,Wild type,conopressin,,,,protein level
P01267,P01267|conopressin-S|Conus striatus|Wild type|conopressin||||protein level,Conus striatus,Wild type,conopressin,,,,protein level
P01268,P01268|conotoxin-GS|Conus geographus|Wild type|conotoxin|O1 superfamily|mu conotoxin|VI/VII|protein level,Conus geographus,Wild type,conotoxin,O1 superfamily,mu conotoxin,VI/VII,protein level
P01269,P01269|Conantokin-T|Conus tulipa|Wild type|conantokin||||protein level,Conus tulipa,Wild type,conantokin,,,,protein level
P01270,P01270|Contryphan-Am|Conus amadis|Wild type|contryphan|O2 superfamily|||protein level,Conus amadis,Wild type,contryphan,O2 superfamily,,,protein level
P01271,P01271|Contryphan-In|Conus inscriptus|Wild type|contryphan||||protein level,Conus inscriptus,Wild type,contryphan,,,,protein level
P01272,P01272|Contryphan-Lo1|Conus loroisii|Wild type|contryphan||||protein level,Conus loroisii,Wild type,contryphan,,,,protein level
P01307,P01307|Gamma-conopressin-vil|Conus villepinii|Wild type|conopressin||||protein level,Conus villepinii,Wild type,conopressin,,,,protein level
P01309,P01309|Contryphan-Vn|Conus ventricosus|Wild type|contryphan||||protein level,Conus ventricosus,Wild type,contryphan,,,,protein level
P01313,P01313|contryphan-P [D5>L]|Conus purpurascens|Wild type|contryphan||||protein level,Conus purpurascens,Wild type,contryphan,,,,protein level
P01317,P01317|Conorfamide-Sr1|Conus spurius|Wild type|conorfamide||||protein level,Conus spurius,Wild type,conorfamide,,,,protein level
P01318,P01318|Contryphan-Sm|Conus stercusmuscarum|Wild type|contryphan|O2 superfamily|||protein level,Conus stercusmuscarum,Wild type,contryphan,O2 superfamily,,,protein level
P02546,P02546|King-Kong 1|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P01338,P01338|Conantokin-G|Conus geographus|Wild type|conantokin|B1 superfamily|||protein level,Conus geographus,Wild type,conantokin,B1 superfamily,,,protein level
P01356,P01356|PVIIA|Conus purpurascens|Wild type|conotoxin|O1 superfamily|kappa conotoxin|VI/VII|protein level,Conus purpurascens,Wild type,conotoxin,O1 superfamily,kappa conotoxin,VI/VII,protein level
P01372,P01372|Contryphan-R|Conus radiatus|Wild type|contryphan|O2 superfamily|||protein level,Conus radiatus,Wild type,contryphan,O2 superfamily,,,protein level
P01376,P01376|Conkunitzin-S1|Conus striatus|Wild type|conkunitzin|||XIV|Unknown,Conus striatus,Wild type,conkunitzin,,,XIV,Unknown
P01382,P01382|conopressin-G|Conus imperialis|Wild type|conopressin||||protein level,Conus imperialis,Wild type,conopressin,,,,protein level
P01384,P01384|MrIA|Conus marmoreus|Wild type|conotoxin|T superfamily|chi conotoxin|X|protein level,Conus marmoreus,Wild type,conotoxin,T superfamily,chi conotoxin,X,protein level
P01386,P01386|MVIIA|Conus magus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus magus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01389,P01389|Conotoxin|Conus amadis|Wild type|conotoxin|P superfamily||IX|Unknown,Conus amadis,Wild type,conotoxin,P superfamily,,IX,Unknown
P01390,P01390|Vn6A|Conus ventricosus|Wild type|conotoxin|||VI/VII|protein level,Conus ventricosus,Wild type,conotoxin,,,VI/VII,protein level
P01397,P01397|OIVA|Conus obscurus|Wild type|conotoxin|A superfamily|alpha conotoxin|IV|protein level,Conus obscurus,Wild type,conotoxin,A superfamily,alpha conotoxin,IV,protein level
P01405,P01405|TVIIA|Conus tulipa|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus tulipa,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P01419,P01419|S11.2a|Conus striatus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus striatus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P01420,P01420|M11.1a|Conus magus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus magus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P01421,P01421|Fi11.1a|Conus figulinus|Wild type|conotoxin|I1 superfamily||XI|nucleic acid level,Conus figulinus,Wild type,conotoxin,I1 superfamily,,XI,nucleic acid level
P01422,P01422|MrIIIA|Conus marmoreus|Wild type|conotoxin|M superfamily||III|protein level,Conus marmoreus,Wild type,conotoxin,M superfamily,,III,protein level
P01449,P01449|PIVA|Conus purpurascens|Wild type|conotoxin|A superfamily|alpha conotoxin|IV|protein level,Conus purpurascens,Wild type,conotoxin,A superfamily,alpha conotoxin,IV,protein level
P01450,P01450|SrVIIA|Conus spurius|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus spurius,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P01465,P01465|MrIIIB|Conus marmoreus|Wild type|conotoxin|M superfamily||III|protein level,Conus marmoreus,Wild type,conotoxin,M superfamily,,III,protein level
P01473,P01473|AsVIIA|Conus austini|Wild type|conotoxin|O1 superfamily|gamma conotoxin|VI/VII|protein level,Conus austini,Wild type,conotoxin,O1 superfamily,gamma conotoxin,VI/VII,protein level
P01478,P01478|RXIE|Conus radiatus|Wild type|conotoxin|I1 superfamily||XI|protein level,Conus radiatus,Wild type,conotoxin,I1 superfamily,,XI,protein level
P01481,P01481|BeTXIb|Conus betulinus|Wild type|conotoxin|M superfamily||III|protein level,Conus betulinus,Wild type,conotoxin,M superfamily,,III,protein level
P01484,P01484|MVIIC|Conus magus|Wild type|conotoxin||omega conotoxin|VI/VII|nucleic acid level,Conus magus,Wild type,conotoxin,,omega conotoxin,VI/VII,nucleic acid level
P01485,P01485|MrIIIF|Conus marmoreus|Wild type|conotoxin|M superfamily||III|protein level,Conus marmoreus,Wild type,conotoxin,M superfamily,,III,protein level
P01486,P01486|MrIIIC|Conus marmoreus|Wild type|conotoxin|M superfamily||III|protein level,Conus marmoreus,Wild type,conotoxin,M superfamily,,III,protein level
P01487,P01487|Reg12l|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P01488,P01488|Reg12k|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P01492,P01492|Reg12f|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P01493,P01493|Reg12e|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P01496,P01496|DeVIIA|Conus delessertii|Wild type|conotoxin|O1 superfamily|gamma conotoxin|VI/VII|protein level,Conus delessertii,Wild type,conotoxin,O1 superfamily,gamma conotoxin,VI/VII,protein level
P01497,P01497|FlfXIVC|Conus anabathrum|Wild type|conotoxin|R superfamily||XIV|protein level,Conus anabathrum,Wild type,conotoxin,R superfamily,,XIV,protein level
P01498,P01498|FlfXIVB|Conus anabathrum|Wild type|conotoxin|R superfamily||XIV|protein level,Conus anabathrum,Wild type,conotoxin,R superfamily,,XIV,protein level
P01499,P01499|FlfXIVA|Conus anabathrum|Wild type|conotoxin|R superfamily||XIV|protein level,Conus anabathrum,Wild type,conotoxin,R superfamily,,XIV,protein level
P01508,P01508|RgXIA|Conus regius|Wild type|conotoxin|I1 superfamily||XI|protein level,Conus regius,Wild type,conotoxin,I1 superfamily,,XI,protein level
P01510,P01510|CcTx|Conus consors|Wild type|conotoxin|A superfamily||IV|protein level,Conus consors,Wild type,conotoxin,A superfamily,,IV,protein level
P01511,P01511|Gla(1)-TxVI|Conus textile|Wild type|conotoxin|O2 superfamily||VI/VII|protein level,Conus textile,Wild type,conotoxin,O2 superfamily,,VI/VII,protein level
P01512,P01512|QcVIA|Conus quercinus|Wild type|conotoxin|O1 superfamily||VI/VII|Unknown,Conus quercinus,Wild type,conotoxin,O1 superfamily,,VI/VII,Unknown
P01513,P01513|QcIIIB|Conus quercinus|Wild type|conotoxin|M superfamily||III|Unknown,Conus quercinus,Wild type,conotoxin,M superfamily,,III,Unknown
P01514,P01514|QcIIIA|Conus quercinus|Wild type|conotoxin|M superfamily||III|Unknown,Conus quercinus,Wild type,conotoxin,M superfamily,,III,Unknown
P01515,P01515|BeTXIIb|Conus betulinus|Wild type|conotoxin|P superfamily||IX|protein level,Conus betulinus,Wild type,conotoxin,P superfamily,,IX,protein level
P01516,P01516|BtIIIA|Conus betulinus|Wild type|conotoxin|M superfamily||III|protein level,Conus betulinus,Wild type,conotoxin,M superfamily,,III,protein level
P01517,P01517|TxVIIA|Conus textile|Wild type|conotoxin|O2 superfamily|gamma conotoxin|VI/VII|protein level,Conus textile,Wild type,conotoxin,O2 superfamily,gamma conotoxin,VI/VII,protein level
P01519,P01519|NgVIA|Conus nigropunctatus|Wild type|conotoxin||delta conotoxin|VI/VII|protein level,Conus nigropunctatus,Wild type,conotoxin,,delta conotoxin,VI/VII,protein level
P01524,P01524|Gla-MrII|Conus marmoreus|Wild type|conotoxin|I2 superfamily||XII|protein level,Conus marmoreus,Wild type,conotoxin,I2 superfamily,,XII,protein level
P01526,P01526|BeTXIIa|Conus betulinus|Wild type|conotoxin|||XVIII|protein level,Conus betulinus,Wild type,conotoxin,,,XVIII,protein level
P01537,P01537|CMrVIA|Conus marmoreus|Wild type|conotoxin||chi conotoxin|X|protein level,Conus marmoreus,Wild type,conotoxin,,chi conotoxin,X,protein level
P01539,P01539|PlXIVA|Conus planorbis|Wild type|conotoxin|J superfamily|kappa conotoxin|XIV|protein level,Conus planorbis,Wild type,conotoxin,J superfamily,kappa conotoxin,XIV,protein level
P01540,P01540|SO3|Conus striatus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|nucleic acid level,Conus striatus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,nucleic acid level
P01543,P01543|TxVA|Conus textile|Wild type|conotoxin|T superfamily|epsilon conotoxin|V|protein level,Conus textile,Wild type,conotoxin,T superfamily,epsilon conotoxin,V,protein level
P02595,P02595|PVIA|Conus purpurascens|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|protein level,Conus purpurascens,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level
P01546,P01546|GVIA|Conus geographus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus geographus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01552,P01552|TxVIA|Conus textile|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|protein level,Conus textile,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level
P01553,P01553|TxVIB|Conus textile|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|protein level,Conus textile,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level
P01554,P01554|MrVIA|Conus marmoreus|Wild type|conotoxin|O1 superfamily|mu conotoxin|VI/VII|protein level,Conus marmoreus,Wild type,conotoxin,O1 superfamily,mu conotoxin,VI/VII,protein level
P01556,P01556|MrVIB|Conus marmoreus|Wild type|conotoxin|O1 superfamily|mu conotoxin|VI/VII|protein level,Conus marmoreus,Wild type,conotoxin,O1 superfamily,mu conotoxin,VI/VII,protein level
P01558,P01558|CnIA|Conus consors|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus consors,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P01559,P01559|PnIVB|Conus pennaceus|Wild type|conotoxin|M superfamily|mu conotoxin|IV|protein level,Conus pennaceus,Wild type,conotoxin,M superfamily,mu conotoxin,IV,protein level
P01560,P01560|PnIVA|Conus pennaceus|Wild type|conotoxin||mu conotoxin|IV|protein level,Conus pennaceus,Wild type,conotoxin,,mu conotoxin,IV,protein level
P01561,P01561|EVIA|Conus ermineus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|protein level,Conus ermineus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level
P01566,P01566|GIIIB|Conus geographus|Wild type|conotoxin|M superfamily|mu conotoxin|III|protein level,Conus geographus,Wild type,conotoxin,M superfamily,mu conotoxin,III,protein level
P02631,P02631|Lt5c|Conus litteratus|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus litteratus,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P01571,P01571|GIIIA|Conus geographus|Wild type|conotoxin|M superfamily|mu conotoxin|III|protein level,Conus geographus,Wild type,conotoxin,M superfamily,mu conotoxin,III,protein level
P01574,P01574|RVIIIA|Conus radiatus|Wild type|conotoxin|S superfamily|alpha conotoxin|VIII|protein level,Conus radiatus,Wild type,conotoxin,S superfamily,alpha conotoxin,VIII,protein level
P01575,P01575|EVIB|Conus ermineus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|nucleic acid level,Conus ermineus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level
P01594,P01594|PIIIF|Conus purpurascens|Wild type|conotoxin|M superfamily|alpha conotoxin|III|protein level,Conus purpurascens,Wild type,conotoxin,M superfamily,alpha conotoxin,III,protein level
