mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,cystein_framework,pharmacological_family,evidence
P02878,P02878|AuIA precursor|Conus aulicus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus aulicus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02879,P02879|AuIB precursor|Conus aulicus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus aulicus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02880,P02880|Tx1 precursor|Conus textile|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02882,P02882|TxIA precursor|Conus textile|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02884,P02884|Tx1.2 precursor|Conus textile|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02886,P02886|R1.4 precursor|Conus radiatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus radiatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02888,P02888|T1.1 precursor|Conus tulipa|Precursor|conotoxin|A superfamily||I|nucleic acid level,Conus tulipa,Precursor,conotoxin,A superfamily,,I,nucleic acid level
P02890,P02890|T1.2 precursor|Conus tulipa|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus tulipa,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02892,P02892|Su1.1 precursor|Conus sulcatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sulcatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02894,P02894|Su1.2 precursor|Conus sulcatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sulcatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02896,P02896|Su1.3 precursor|Conus sulcatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sulcatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02898,P02898|Su1.4 precursor|Conus sulcatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sulcatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02900,P02900|Su1.5 precursor|Conus sulcatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sulcatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02902,P02902|CnIH precursor|Conus consors|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus consors,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02904,P02904|Sm1.3 precursor|Conus stercusmuscarum|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus stercusmuscarum,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02906,P02906|Bt1.1 precursor|Conus betulinus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus betulinus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02908,P02908|Bt1.2 precursor|Conus betulinus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus betulinus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02910,P02910|Bt1.3 precursor|Conus betulinus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus betulinus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02912,P02912|Bt1.4 precursor|Conus betulinus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus betulinus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02914,P02914|Bt1.5 precursor|Conus betulinus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus betulinus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02916,P02916|Pn1.1 precursor|Conus pennaceus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus pennaceus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02918,P02918|Pn1.2 precursor|Conus pennaceus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus pennaceus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02920,P02920|Sm1.2 precursor|Conus stercusmuscarum|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus stercusmuscarum,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02922,P02922|Ci1.1 precursor|Conus circumcisus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus circumcisus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02924,P02924|Ci1.2 precursor|Conus circumcisus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus circumcisus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02925,P02925|EpI precursor|Conus episcopatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus episcopatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02927,P02927|Sp1.1 precursor|Conus sponsalis|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sponsalis,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02929,P02929|Sp1.2 precursor|Conus sponsalis|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sponsalis,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02931,P02931|Bu1.1 precursor|Conus bullatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus bullatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02933,P02933|Bu1.2 precursor|Conus bullatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus bullatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02935,P02935|Bu1.3 precursor|Conus bullatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus bullatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02937,P02937|Di1.3 precursor|Conus distans|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus distans,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02939,P02939|Cn1.2 precursor|Conus consors|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus consors,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02941,P02941|P1.9 precursor|Conus purpurascens|Precursor|conotoxin||||nucleic acid level,Conus purpurascens,Precursor,conotoxin,,,,nucleic acid level
P02943,P02943|Ai1.1 precursor|Conus ammiralis|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus ammiralis,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02945,P02945|Ai1.2 precursor|Conus ammiralis|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus ammiralis,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02947,P02947|O1.1 precursor|Conus obscurus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus obscurus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02949,P02949|O1.2 precursor|Conus obscurus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus obscurus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02951,P02951|O1.3 precursor|Conus obscurus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus obscurus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02953,P02953|G5.2 precursor|Conus geographus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus geographus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02955,P02955|Qc5.1 precursor|Conus quercinus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus quercinus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02957,P02957|G5.1 precursor|Conus geographus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus geographus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02961,P02961|Mr5.5 precursor|Conus marmoreus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus marmoreus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02959,P02959|TxVA precursor|Conus textile|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02963,P02963|Mr5.6 precursor|Conus marmoreus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus marmoreus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02964,P02964|Ca5.3 precursor|Conus caracteristicus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus caracteristicus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02966,P02966|Ca5.4 precursor|Conus caracteristicus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus caracteristicus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02968,P02968|Qc5.2 precursor|Conus quercinus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus quercinus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02969,P02969|SVIE precursor|Conus striatus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus striatus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P02975,P02975|GI precursor|Conus geographus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus geographus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02977,P02977|R1.1 precursor|Conus radiatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus radiatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02979,P02979|R1.2 precursor|Conus radiatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus radiatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02981,P02981|Sm1.1 precursor|Conus stercusmuscarum|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus stercusmuscarum,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02983,P02983|GIB precursor|Conus geographus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus geographus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02985,P02985|Mn1.1 precursor|Conus monachus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus monachus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02987,P02987|Ac1.2 precursor|Conus achatinus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus achatinus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02991,P02991|Bt1.6 precursor|Conus betulinus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus betulinus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02989,P02989|Ac1.1b precursor|Conus achatinus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus achatinus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02993,P02993|Mn1.2 precursor|Conus monachus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus monachus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02995,P02995|Ci1.3 precursor|Conus circumcisus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus circumcisus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02997,P02997|R1.3 precursor|Conus radiatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus radiatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P02999,P02999|M1.1 precursor|Conus magus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus magus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P03000,P03000|EI precursor|Conus ermineus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus ermineus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P03002,P03002|E1.1 precursor|Conus ermineus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus ermineus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P03004,P03004|P1.10 precursor|Conus purpurascens|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus purpurascens,Precursor,conotoxin,A superfamily,,,nucleic acid level
P03006,P03006|Su1.6 precursor|Conus sulcatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sulcatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P03008,P03008|Su1.7 precursor|Conus sulcatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sulcatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P03010,P03010|Su1.8 precursor|Conus sulcatus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus sulcatus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P03011,P03011|PIA precursor|Conus purpurascens|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus purpurascens,Precursor,conotoxin,A superfamily,,,nucleic acid level
P03013,P03013|Lp5.3 precursor|Conus leopardus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus leopardus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P03015,P03015|Lp5.4 precursor|Conus leopardus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus leopardus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P03016,P03016|GmVIA precursor|Conus gloriamaris|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03018,P03018|Tx6.1 precursor|Conus textile|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03020,P03020|Om6.1 precursor|Conus omaria|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus omaria,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03022,P03022|Da6.1 precursor|Conus dalli|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus dalli,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03024,P03024|Da6.2 precursor|Conus dalli|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus dalli,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03025,P03025|TxVIA precursor|Conus textile|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03026,P03026|TxVIA precursor|Conus textile|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03028,P03028|Ai6.1 precursor|Conus ammiralis|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus ammiralis,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03030,P03030|Da6.3 precursor|Conus dalli|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus dalli,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03032,P03032|Gm6.1 precursor|Conus gloriamaris|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03034,P03034|Gm6.2 precursor|Conus gloriamaris|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03036,P03036|Gm6.3 precursor|Conus gloriamaris|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03038,P03038|M6.1 precursor|Conus magus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus magus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03039,P03039|TxO1 precursor|Conus textile|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03041,P03041|Om6.2 precursor|Conus omaria|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus omaria,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03043,P03043|Om6.3 precursor|Conus omaria|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus omaria,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03045,P03045|Om6.4 precursor|Conus omaria|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus omaria,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03047,P03047|Au6.1 precursor|Conus aulicus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus aulicus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03049,P03049|Au6.2 precursor|Conus aulicus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus aulicus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03051,P03051|Da6.4 precursor|Conus dalli|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus dalli,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03053,P03053|Di6.14 precursor|Conus distans|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus distans,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03055,P03055|Pn6.1 precursor|Conus pennaceus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus pennaceus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03057,P03057|Pn6.2 precursor|Conus pennaceus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus pennaceus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03059,P03059|Pn6.3 precursor|Conus pennaceus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus pennaceus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03061,P03061|Pn6.5 precursor|Conus pennaceus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus pennaceus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03063,P03063|Ai6.2 precursor|Conus ammiralis|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus ammiralis,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03065,P03065|Tx6.2 precursor|Conus textile|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03067,P03067|Mr6.1 precursor|Conus marmoreus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus marmoreus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03068,P03068|MaIr332 precursor|Conus marmoreus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus marmoreus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03070,P03070|Mr6.2 precursor|Conus marmoreus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus marmoreus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03071,P03071|MaIr137 precursor|Conus marmoreus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus marmoreus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03073,P03073|Om6.5 precursor|Conus omaria|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus omaria,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03075,P03075|Au6.3 precursor|Conus aulicus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus aulicus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03076,P03076|AVIA precursor|Conus aurisiacus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus aurisiacus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03077,P03077|MVIA precursor|Conus magus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus magus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03078,P03078|MVIC precursor|Conus magus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus magus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03079,P03079|MVIB precursor|Conus magus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus magus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03081,P03081|M6.2 precursor|Conus magus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus magus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03082,P03082|EVIB precursor|Conus ermineus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus ermineus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03084,P03084|P6.1 precursor|Conus purpurascens|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus purpurascens,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03085,P03085|Conotoxin-9 precursor|Conus striatus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus striatus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03086,P03086|CVIE-2 precursor|Conus catus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus catus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03088,P03088|C6.1 precursor|Conus catus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus catus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03090,P03090|Di6.15 precursor|Conus distans|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus distans,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03092,P03092|Gm6.4 precursor|Conus gloriamaris|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03094,P03094|Da6.5 precursor|Conus dalli|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus dalli,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03096,P03096|Pn6.6 precursor|Conus pennaceus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus pennaceus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03098,P03098|Di6.16 precursor|Conus distans|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus distans,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03100,P03100|Ai6.3 precursor|Conus ammiralis|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus ammiralis,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03102,P03102|Tx6.3 precursor|Conus textile|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus textile,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03104,P03104|Gm6.5 precursor|Conus gloriamaris|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03106,P03106|Om6.6 precursor|Conus omaria|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus omaria,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03108,P03108|Da6.6 precursor|Conus dalli|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus dalli,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03110,P03110|Da6.7 precursor|Conus dalli|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus dalli,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03112,P03112|Pn6.7 precursor|Conus pennaceus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus pennaceus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03114,P03114|G6.2 precursor|Conus geographus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus geographus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03116,P03116|Qc6.1 precursor|Conus quercinus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus quercinus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03118,P03118|Lp6.1 precursor|Conus leopardus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus leopardus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03120,P03120|Mr6.3 precursor|Conus marmoreus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus marmoreus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03122,P03122|Qc6.2 precursor|Conus quercinus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus quercinus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03124,P03124|Ar6.1 precursor|Conus arenatus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus arenatus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03126,P03126|Ts6.1 precursor|Conus tessulatus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus tessulatus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03127,P03127|Conotoxin-1 precursor|Conus imperialis|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus imperialis,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03129,P03129|Ca6.1 precursor|Conus caracteristicus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus caracteristicus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03131,P03131|Lv6.1 precursor|Conus lividus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus lividus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03133,P03133|Pu6.2 precursor|Conus pulicarius|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus pulicarius,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03135,P03135|Ge6.1 precursor|Conus generalis|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus generalis,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03137,P03137|Ep6.1 precursor|Conus episcopatus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus episcopatus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03138,P03138|BVIA precursor|Conus bullatus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus bullatus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03139,P03139|CnVIA precursor|Conus consors|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus consors,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03141,P03141|Cn6.1 precursor|Conus consors|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus consors,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03142,P03142|SmVIA precursor|Conus stercusmuscarum|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus stercusmuscarum,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P03144,P03144|St6.1 precursor|Conus striolatus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus striolatus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
