mapped_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P00074,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.312592,0.12951271,2.6763031,-1.3897482,-1.5507647,-0.705854,
P00090,Conus striatus,Wild type,conotoxin,A superfamily,alpha conotoxin,II,protein level,9.714211,1.3712834,3.8463163,-0.66937834,-1.4798626,-0.18025318,
P00093,Conus imperialis,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.647499,2.4429283,4.6843257,0.0853438,-1.0834339,-0.6836938,
P00095,Conus aulicus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,6.061907,0.09669574,4.1757073,-1.692766,-1.3014573,-0.58175004,
P00098,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,6.4914575,1.2511309,4.42559,-1.2194543,-0.85559124,-0.83605134,
P00099,Conus pennaceus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,5.7667346,0.15133114,4.2089205,-1.7794267,-1.0657582,-0.66907597,
P02527,Conus magus,Wild type,conotoxin,A superfamily,kappa conotoxin,IV,protein level,9.49726,3.9753122,5.1666565,0.32243723,-0.64707077,-0.700119,
P02534,Conus vexillum,Wild type,conotoxin,M superfamily,NA,IV,protein level,10.822259,3.4187915,4.2856965,1.1252562,-1.2513992,0.80038685,
P00132,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level,6.2217803,-0.08333666,4.448329,-1.8094294,-1.158424,-0.7160934,
P00404,Conus aulicus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,5.9707127,-0.020225529,4.136481,-1.6182513,-1.2406825,-0.48392925,
P00405,Conus episcopatus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,6.1788063,0.6225604,4.192078,-1.5116491,-1.0514085,-0.6107943,
P00407,Conus aulicus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,6.2916455,0.14704388,4.266187,-1.556623,-1.2558831,-0.51355135,
P00594,Conus consors,Wild type,conotoxin,A superfamily,NA,I,protein level,8.517819,-0.062927246,2.157746,-1.1439784,-1.6023396,-0.53667414,
P00595,Conus purpurascens,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level,7.0339317,1.6227504,4.602745,-0.85594666,-1.0714451,-0.8763116,
P06668,Conus arenatus,Wild type,conotoxin,NA,NA,IV,nucleic acid level,11.900382,5.121873,5.5233207,2.3627722,-0.31022525,0.7913285,
P00795,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.554741,5.2769647,1.3574525,0.9542676,-0.31917554,0.8784291,
P00796,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.5067425,5.329897,1.0592322,0.4582923,-0.25976166,0.936026,
P00797,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.566262,5.2786093,1.0419661,0.5343218,-0.28435463,1.0341651,
P00798,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.362515,5.243027,0.6869583,-0.30844784,-0.2873074,0.60052973,
P00799,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.314908,5.279877,0.78115976,-0.43501198,-0.20552701,0.6383684,
P00800,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.528169,5.344349,1.1372269,0.53188103,-0.3011132,0.7186176,
P00801,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.42845,5.3476896,0.8390847,0.16378959,-0.41584173,0.3376574,
P00802,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.274712,5.413871,0.9404355,0.21969861,-0.30716398,0.54874176,
P00803,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.233156,5.2705355,0.8669742,-0.016099064,-0.39436474,0.26819,
P00804,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.457005,5.263212,0.9785293,0.06156108,-0.399809,0.4984208,
P00805,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.411854,5.3267875,0.84323865,0.021106599,-0.4104384,0.4887395,
P00806,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.465638,5.1547008,1.1437758,0.5591877,-0.3685091,0.58599323,
P00807,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.463801,5.22822,1.0325141,0.39932305,-0.43540093,0.58507997,
P00808,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.264972,5.4315743,0.65933406,-0.25539234,-0.2892804,0.4348582,
P00809,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.211002,5.4675665,0.6713827,-0.1605053,-0.27633134,0.4305899,
P00810,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.309947,5.285737,0.6625693,-0.5701306,-0.28502303,0.36868292,
P00811,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.450279,5.4340086,1.4857734,0.91332555,-0.26869574,1.0593976,
P00812,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.343519,5.4373956,1.015911,0.12890093,-0.23343298,0.65476537,
P00813,Conus californicus,Wild type,conotoxin,O1 superfamily,NA,XII,Unknown,10.466938,5.377547,0.6638085,-0.2620721,-0.21731856,0.577722,
P00814,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.337255,5.35936,0.7322587,-0.34734738,-0.18905452,0.6128019,
P00816,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,10.449622,5.386347,1.1327206,0.6852518,-0.22779582,1.006163,
P00818,Conus californicus,Wild type,conotoxin,NA,NA,XII,Unknown,9.484658,5.7903547,0.51868707,-0.48928493,-0.10937594,0.27576858,
P00828,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.338591,6.107444,-0.16093569,-0.48369503,0.06361401,0.43676716,
P00829,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.370087,6.069011,-0.01607419,-0.29409906,0.060951717,0.37560448,
P00830,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.989886,5.969727,0.9314965,0.58774143,-0.13532467,0.8980039,
P00831,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.474529,6.1925297,-0.073169015,-0.2580716,0.054752693,0.46023732,
P00832,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.309005,6.0088935,-0.19944045,-0.46479836,0.029946584,0.42509097,
P00833,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.796156,6.048996,0.2819808,0.18676527,-0.10858183,0.8770608,
P00834,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.288212,6.2504687,-0.08393732,-0.34849402,0.12128971,0.43524688,
P00835,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.198562,6.0942864,0.3002377,-0.19689415,0.058942385,0.29997662,
P00836,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.259883,6.091069,0.303561,-0.14281282,0.09064113,0.26154333,
P00837,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.206737,6.1491237,0.43202022,-0.097376704,0.14150561,0.32411465,
P00839,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.001902,6.008222,-0.12225816,-0.61649466,0.27666023,0.32536295,
P00840,Conus radiatus,Wild type,conotoxin,I1 superfamily,iota conotoxin,XI,protein level,9.002262,5.9978895,-0.038130887,-0.550818,0.243129,0.29550797,
P00841,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.113519,6.084372,-0.074115515,-0.6752724,0.31916696,0.41210264,
P00842,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,protein level,9.083846,5.9836354,-0.17526685,-0.43218267,0.2629355,0.46109226,
P00843,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,protein level,9.077757,6.055521,-0.30502632,-0.61964804,0.15730064,0.55131304,
P00844,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,7.838696,6.7598963,-1.0784973,-0.97143364,0.30864865,0.63293254,
P00851,Conus striatus,Wild type,conotoxin,NA,NA,NA,nucleic acid level,7.665274,6.5111456,-2.9682076,-1.450121,0.20487137,0.59635246,
P01077,Conus imperialis,Precursor,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,3.7603502,12.313399,4.1931543,-0.8732034,1.4260827,-0.6737927,
P01156,Conus litteratus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.150517,11.553352,4.4718623,-1.1455743,1.5908307,-0.53326106,
P01163,Conus litteratus,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,8.066288,10.994644,5.3372273,0.61686754,0.62869674,-1.3914199,
P01164,Conus litteratus,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,7.333987,11.870877,6.0512843,0.040334694,0.7416603,-1.6360384,
P01175,Conus litteratus,Precursor,contryphan,O2 superfamily,NA,NA,nucleic acid level,8.008216,10.896175,7.2426333,0.30036438,0.802342,-1.7492502,
P02496,Conus leopardus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level,11.691404,5.25706,6.052325,1.4230719,-0.74129796,-0.30144075,
P01266,Conus ebraeus,Wild type,conopressin,NA,NA,NA,protein level,12.515943,3.1013672,6.780632,1.0649003,-0.77118653,-0.08044075,
P01267,Conus striatus,Wild type,conopressin,NA,NA,NA,protein level,12.785356,3.5210767,6.620336,1.6356997,-0.8314343,0.36897928,
P01268,Conus geographus,Wild type,conotoxin,O1 superfamily,mu conotoxin,VI/VII,protein level,8.222058,7.252093,-0.4699738,-0.6496231,0.12081571,0.37334365,
P01269,Conus tulipa,Wild type,conantokin,NA,NA,NA,protein level,13.619395,8.615732,5.9224706,1.6230366,0.30560023,-0.6518458,
P01270,Conus amadis,Wild type,contryphan,O2 superfamily,NA,NA,protein level,13.26334,1.2736012,5.1444874,-0.0132387495,-0.97583705,-0.18524243,
P01271,Conus inscriptus,Wild type,contryphan,NA,NA,NA,protein level,13.442324,2.6096864,5.5182514,0.90918577,-1.2145745,0.3002885,
P01272,Conus loroisii,Wild type,contryphan,NA,NA,NA,protein level,13.185611,1.3059808,5.1042166,-0.0132387495,-0.97583705,-0.18524243,
P01307,Conus villepinii,Wild type,conopressin,NA,NA,NA,protein level,11.891055,3.315979,6.1712947,1.3422723,-0.7559908,-0.044712365,
P01309,Conus ventricosus,Wild type,contryphan,NA,NA,NA,protein level,13.605554,2.477199,5.57529,0.6149689,-1.1779381,-0.0718781,
P01313,Conus purpurascens,Wild type,contryphan,NA,NA,NA,protein level,13.118267,3.8757474,5.822381,1.8589998,-0.7103634,0.6560482,
P01317,Conus spurius,Wild type,conorfamide,NA,NA,NA,protein level,13.125517,3.3817158,6.729405,0.47339788,-0.04227123,-1.0993879,
P01318,Conus stercusmuscarum,Wild type,contryphan,O2 superfamily,NA,NA,protein level,13.693146,2.263014,5.5322866,0.292994,-1.0824728,-0.37019095,
P02546,Conus textile,Wild type,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,11.076107,6.503134,-1.3286601,-0.21445988,0.21947064,0.9569397,
P01338,Conus geographus,Wild type,conantokin,B1 superfamily,NA,NA,protein level,13.607245,8.095567,5.927047,2.1701825,0.2753994,-0.2782091,
P01356,Conus purpurascens,Wild type,conotoxin,O1 superfamily,kappa conotoxin,VI/VII,protein level,7.194485,6.612434,-2.91839,-1.4357443,0.7339146,0.9418336,
P01372,Conus radiatus,Wild type,contryphan,O2 superfamily,NA,NA,protein level,13.642014,2.359913,5.605454,0.82297397,-1.0371644,-0.049905356,
P01376,Conus striatus,Wild type,conkunitzin,NA,NA,XIV,Unknown,1.5232002,8.902546,3.494002,-1.2825778,1.6317265,0.35845008,
P01382,Conus imperialis,Wild type,conopressin,NA,NA,NA,protein level,12.591961,3.1714818,6.71931,1.0649003,-0.77118653,-0.08044075,
P01384,Conus marmoreus,Wild type,conotoxin,T superfamily,chi conotoxin,X,protein level,10.893072,0.1670946,4.911428,-1.0794895,-1.5462768,-0.39311033,
P01386,Conus magus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level,9.070636,7.538437,-3.7398915,-1.7371334,0.4328017,1.0603913,
P01389,Conus amadis,Wild type,conotoxin,P superfamily,NA,IX,Unknown,7.9851546,5.8390555,-0.5831319,-1.5349624,0.32255778,0.52741885,
P01390,Conus ventricosus,Wild type,conotoxin,NA,NA,VI/VII,protein level,11.248181,7.5512447,-1.6842119,-1.3233651,0.42306086,0.75874263,
P01397,Conus obscurus,Wild type,conotoxin,A superfamily,alpha conotoxin,IV,protein level,9.50244,0.52888757,4.438675,-0.7619217,-1.5587417,-0.5570142,
P01405,Conus tulipa,Wild type,conotoxin,O1 superfamily,NA,VI/VII,protein level,8.155538,7.1404467,-0.583711,-1.1045866,0.39364985,0.4382309,
P01419,Conus striatus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.465003,6.0347357,0.23695998,-0.072795585,-0.0518514,0.53514504,
P01420,Conus magus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.176174,6.1435122,0.30475113,-0.14281282,0.09064113,0.26154333,
P01421,Conus figulinus,Wild type,conotoxin,I1 superfamily,NA,XI,nucleic acid level,9.273863,6.1430283,-0.010120812,-0.34849402,0.12128971,0.43524688,
P01422,Conus marmoreus,Wild type,conotoxin,M superfamily,NA,III,protein level,9.829407,-2.2792475,5.711347,-1.8978219,-1.4210538,-0.16566788,
P01449,Conus purpurascens,Wild type,conotoxin,A superfamily,alpha conotoxin,IV,protein level,9.462659,1.3257068,3.9390152,-0.51719874,-1.354799,-0.3116378,
P01450,Conus spurius,Wild type,conotoxin,O1 superfamily,NA,VI/VII,protein level,9.536583,7.7944555,-0.5387823,-1.0803106,0.63325584,1.1469698,
P01465,Conus marmoreus,Wild type,conotoxin,M superfamily,NA,III,protein level,10.073182,-0.39987803,5.2027974,-1.2453873,-1.5175956,-0.49656886,
P01473,Conus austini,Wild type,conotoxin,O1 superfamily,gamma conotoxin,VI/VII,protein level,7.905766,6.2404118,-2.4542568,-1.3107054,0.70643145,1.4034756,
P01478,Conus radiatus,Wild type,conotoxin,I1 superfamily,NA,XI,protein level,7.807069,6.4591317,-1.4856322,-1.2667468,0.5014866,0.6906905,
P01481,Conus betulinus,Wild type,conotoxin,M superfamily,NA,III,protein level,11.741874,-1.3932611,5.2389083,-1.3265626,-1.5656029,-0.3138333,
P01484,Conus magus,Wild type,conotoxin,NA,omega conotoxin,VI/VII,nucleic acid level,9.059104,7.768835,-3.4911985,-1.4037769,0.36143285,1.019031,
P01485,Conus marmoreus,Wild type,conotoxin,M superfamily,NA,III,protein level,9.740364,-0.112532325,6.025778,-1.2355944,-1.5223877,-0.0634435,
P01486,Conus marmoreus,Wild type,conotoxin,M superfamily,NA,III,protein level,9.9819145,-2.443831,5.1382265,-1.7300389,-1.5325525,-0.5621961,
P01487,Conus regius,Wild type,conotoxin,M superfamily,NA,III,protein level,9.795404,-0.068244845,4.482397,-0.8253932,-1.6063297,-0.24027734,
P01488,Conus regius,Wild type,conotoxin,M superfamily,NA,III,protein level,10.284093,-0.30178052,4.9274096,-0.8163749,-1.5979341,-0.538536,
P01492,Conus regius,Wild type,conotoxin,M superfamily,NA,III,protein level,10.092494,-0.5971858,5.1921396,-1.28054,-1.6575173,-0.38653937,
P01493,Conus regius,Wild type,conotoxin,M superfamily,NA,III,protein level,10.603721,-0.4217503,5.2692738,-1.1448841,-1.6863221,-0.5294909,
P01496,Conus delessertii,Wild type,conotoxin,O1 superfamily,gamma conotoxin,VI/VII,protein level,11.597583,7.37611,-3.3860776,-2.0326276,0.87818915,0.82214063,
P01497,Conus anabathrum,Wild type,conotoxin,R superfamily,NA,XIV,protein level,8.729913,6.522468,4.2001586,0.96961,-0.1865011,0.17933495,
P01498,Conus anabathrum,Wild type,conotoxin,R superfamily,NA,XIV,protein level,11.3553,4.8478336,5.054355,1.5052629,-0.13804841,0.785818,
P01499,Conus anabathrum,Wild type,conotoxin,R superfamily,NA,XIV,protein level,12.875768,5.4655714,6.244395,2.659137,-0.011220129,0.6554981,
P01508,Conus regius,Wild type,conotoxin,I1 superfamily,NA,XI,protein level,8.377362,7.0898895,0.11779006,-0.39016053,0.5876568,0.0555125,
P01510,Conus consors,Wild type,conotoxin,A superfamily,NA,IV,protein level,10.47455,4.6302514,5.1376853,1.5212947,-0.8964337,0.7913884,
P01511,Conus textile,Wild type,conotoxin,O2 superfamily,NA,VI/VII,protein level,9.012408,5.825624,-1.4560971,-0.5841535,0.5339073,0.92538744,
P01512,Conus quercinus,Wild type,conotoxin,O1 superfamily,NA,VI/VII,Unknown,9.041146,5.205523,1.0222983,-0.41431308,-0.6482242,0.29297817,
P01513,Conus quercinus,Wild type,conotoxin,M superfamily,NA,III,Unknown,11.558379,-2.6953168,5.6225605,-1.9380298,-1.5913162,-0.2857208,
P01514,Conus quercinus,Wild type,conotoxin,M superfamily,NA,III,Unknown,12.018761,-3.2220209,5.4199734,-1.7422504,-1.4213889,-0.54175884,
P01515,Conus betulinus,Wild type,conotoxin,P superfamily,NA,IX,protein level,8.548989,5.5713515,0.5618003,-0.80747247,-0.23299563,0.16852114,
P01516,Conus betulinus,Wild type,conotoxin,M superfamily,NA,III,protein level,11.574021,-2.21666,5.123923,-1.503545,-1.4595689,-0.36072206,
P01517,Conus textile,Wild type,conotoxin,O2 superfamily,gamma conotoxin,VI/VII,protein level,7.549938,5.465385,-3.017515,-2.0211663,0.81577355,1.5306057,
P01519,Conus nigropunctatus,Wild type,conotoxin,NA,delta conotoxin,VI/VII,protein level,10.905763,6.5105653,-1.9489281,-1.0184263,0.5265995,0.8674665,
P01524,Conus marmoreus,Wild type,conotoxin,I2 superfamily,NA,XII,protein level,11.7879925,5.739388,4.3517613,2.0057993,0.1570259,0.6931417,
P01526,Conus betulinus,Wild type,conotoxin,NA,NA,XVIII,protein level,10.836119,4.7831078,3.4671009,1.4783912,-0.47936255,1.333177,
P01537,Conus marmoreus,Wild type,conotoxin,NA,chi conotoxin,X,protein level,11.088667,-0.10759255,5.106483,-1.6556385,-1.7129513,-0.3634127,
P01539,Conus planorbis,Wild type,conotoxin,J superfamily,kappa conotoxin,XIV,protein level,11.759362,4.7111616,4.344206,1.462646,-0.4292989,0.9733705,
P01540,Conus striatus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,nucleic acid level,9.141162,7.34005,-3.9170537,-1.7798822,0.37221265,0.90267664,
P01543,Conus textile,Wild type,conotoxin,T superfamily,epsilon conotoxin,V,protein level,10.591895,2.6147606,4.881671,0.5567947,-1.3556513,0.36440697,
P02595,Conus purpurascens,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level,10.882979,6.9527254,-2.5424707,-1.655708,0.6028688,0.8998883,
P01546,Conus geographus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level,8.830185,7.3187704,-3.2799723,-1.7355802,0.32033214,0.97839504,
P01552,Conus textile,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level,12.015456,7.078529,-3.8847964,-2.2471101,0.76359814,1.2149965,
P01553,Conus textile,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level,11.984907,7.135457,-3.7200608,-2.1765792,0.7529607,1.150502,
P01554,Conus marmoreus,Wild type,conotoxin,O1 superfamily,mu conotoxin,VI/VII,protein level,11.46225,7.3156624,-1.4144648,-1.086418,0.5720199,0.8107046,
P01556,Conus marmoreus,Wild type,conotoxin,O1 superfamily,mu conotoxin,VI/VII,protein level,11.46439,7.473109,-1.5470812,-1.4334004,0.6304481,0.92254674,
P01558,Conus consors,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.777908,0.09157255,2.3643947,-1.3769617,-1.5438523,-0.55932105,
P01559,Conus pennaceus,Wild type,conotoxin,M superfamily,mu conotoxin,IV,protein level,9.985116,-0.7925113,5.7536554,-1.3747979,-1.6147547,-0.03887208,
P01560,Conus pennaceus,Wild type,conotoxin,NA,mu conotoxin,IV,protein level,9.963511,-0.598198,5.480083,-1.078819,-1.654358,-0.12730469,
P01561,Conus ermineus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level,11.129715,7.533673,-1.9185029,-1.2916774,0.35060167,0.6181287,
P01566,Conus geographus,Wild type,conotoxin,M superfamily,mu conotoxin,III,protein level,9.679193,1.7460896,3.2764895,-0.15943435,-1.272551,-0.31819913,
P02631,Conus litteratus,Wild type,conotoxin,T superfamily,NA,V,nucleic acid level,11.1094475,1.12565,5.6387954,-0.7775317,-1.643611,-0.2814107,
P01571,Conus geographus,Wild type,conotoxin,M superfamily,mu conotoxin,III,protein level,9.5602665,1.8942345,3.2158084,-0.078931585,-1.2900298,-0.2183615,
P01574,Conus radiatus,Wild type,conotoxin,S superfamily,alpha conotoxin,VIII,protein level,8.523509,4.4686475,2.2645748,0.27952635,-0.41262636,0.11042113,
P01575,Conus ermineus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level,10.996432,6.946752,-2.6979098,-1.6052239,0.6266988,0.9128223,
P01594,Conus purpurascens,Wild type,conotoxin,M superfamily,alpha conotoxin,III,protein level,9.491087,1.1185296,4.192762,-0.86743784,-1.3265731,-0.339614,
P01598,Conus gloriamaris,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level,11.036237,7.1862583,-2.7538927,-1.4753886,0.5950983,0.9278412,
P01603,Conus textile,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level,11.681943,6.9799943,-3.5749457,-1.6174136,0.6448537,1.0481054,
P01611,Conus purpurascens,Wild type,conotoxin,M superfamily,alpha conotoxin,III,protein level,9.56317,1.245493,3.9514673,-0.53554875,-1.3443934,-0.38879365,
P01615,Conus striatus,Wild type,conotoxin,M superfamily,mu conotoxin,III,protein level,9.674767,1.3976532,3.4597626,-0.46084788,-1.4370699,-0.11299927,
P01616,Conus tulipa,Wild type,conotoxin,M superfamily,mu conotoxin,III,nucleic acid level,9.788449,1.7090638,3.5146663,-0.26968628,-1.3862323,-0.07163822,
P01617,Conus monile,Wild type,conotoxin,T superfamily,NA,V,protein level,11.230371,1.3319935,4.9261694,-0.1675949,-1.8158553,0.11768248,
P01618,Conus spurius,Wild type,conotoxin,T superfamily,NA,V,protein level,11.902589,3.6325834,5.531546,1.4387652,-1.144863,1.4767467,
P01619,Conus villepinii,Wild type,conotoxin,R superfamily,NA,XIV,protein level,8.511919,5.3054233,4.3484635,-0.19796287,-0.263495,0.10225206,
P01620,Conus stercusmuscarum,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level,10.953519,6.874652,-2.255518,-1.489011,0.46658662,0.4936853,
P01621,Conus magus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level,11.035163,6.48217,-2.0416543,-1.1160749,0.57013226,0.9250797,
P01622,Conus magus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level,11.012468,6.6599593,-2.300219,-1.4100603,0.67510587,0.8485898,
P01623,Conus magus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level,10.928194,6.705738,-1.860066,-1.0672245,0.38029918,0.7382397,
