uid,dset,x,y,z
AEI,3FTx,12.693953,11.681493,9.171199
AEJ,3FTx,13.089625,11.426347,9.027322
AEK,3FTx,12.9165535,12.302653,8.405505
AEL,3FTx,12.772381,12.151289,8.501941
AEM,3FTx,12.86571,12.17615,8.570709
AEN,3FTx,13.021873,12.299371,8.409011
AEO,3FTx,12.603938,11.879005,7.9842577
AEP,3FTx,13.2026205,11.672001,7.849371
AEQ,3FTx,13.295904,11.812152,8.122659
AER,3FTx,13.091426,11.662987,7.9607882
AES,3FTx,12.542604,11.526041,8.940581
AET,3FTx,13.0164995,11.631693,8.814288
AEU,3FTx,13.185903,11.137143,8.7457485
AEV,3FTx,13.253645,11.1921,8.614832
AEW,3FTx,12.994283,11.798711,8.730055
AEX,3FTx,12.962196,12.272297,8.839416
AEY,3FTx,12.402366,10.319948,7.945507
AEZ,3FTx,12.408799,10.401702,7.8977537
AFA,3FTx,12.19206,10.664914,7.7233214
AFB,3FTx,12.178945,10.605732,7.771987
AFC,3FTx,12.063662,11.808633,7.491217
AFD,3FTx,11.795041,11.636451,8.497323
AFE,3FTx,12.030795,11.688395,8.640475
AFF,3FTx,11.819779,11.573339,8.697999
AFG,3FTx,11.715614,11.871067,8.612026
AFH,3FTx,11.981617,11.827391,8.358371
AFI,3FTx,11.8530855,11.691179,8.587697
AFJ,3FTx,11.753049,11.693998,8.255272
AFK,3FTx,12.009452,11.620469,8.124455
AFL,3FTx,11.884836,11.424633,8.258818
AFM,3FTx,12.048883,11.435258,8.082045
AFN,3FTx,11.587663,11.41622,8.373443
AFO,3FTx,11.966721,11.537408,8.337717
AFP,3FTx,12.168698,11.757841,8.425861
AFQ,3FTx,12.166179,11.793748,7.9697003
AFR,3FTx,12.26143,11.804601,8.269302
AFS,3FTx,12.260662,11.86285,7.9795766
AFT,3FTx,12.342437,11.771979,7.857122
AFU,3FTx,12.1546955,11.65006,7.9897857
AFV,3FTx,11.537493,11.618219,8.363836
AFW,3FTx,11.765472,11.5172825,8.560406
AFX,3FTx,11.60039,11.762381,8.491469
AFY,3FTx,11.571763,11.636271,8.452009
AFZ,3FTx,11.172062,11.488443,8.144463
AGA,3FTx,11.336541,11.39055,8.015366
AGB,3FTx,11.445621,11.570162,8.083022
AGC,3FTx,11.281385,11.311292,8.008138
AGD,3FTx,11.266412,11.19642,7.968545
AGE,3FTx,11.367751,11.277041,7.8243923
AGF,3FTx,13.503591,10.965759,6.2891083
AGG,3FTx,13.362302,11.020482,6.0340476
AGH,3FTx,13.301656,10.132039,5.8336143
AGI,3FTx,13.641697,10.329698,5.5961123
AGJ,3FTx,13.4035225,9.150676,6.204741
AGK,3FTx,13.246521,10.324144,5.4239473
AGL,3FTx,12.86379,10.535185,5.585865
AGM,3FTx,12.611385,10.034883,5.4872804
AGN,3FTx,12.517499,10.30004,5.6913166
AGO,3FTx,12.809208,11.123152,5.5477304
AGP,3FTx,12.928043,10.86582,5.661092
AGQ,3FTx,13.547076,10.706042,5.8164268
AGR,3FTx,13.313832,10.372058,5.362546
AGS,3FTx,13.383982,10.637443,5.775897
AGT,3FTx,13.040548,10.58608,5.5876784
AGU,3FTx,13.233084,10.636152,5.392434
AGV,3FTx,13.20306,10.620591,5.7189074
AGW,3FTx,13.169932,10.400179,5.552002
AGX,3FTx,13.977295,9.848891,6.163428
AGY,3FTx,13.803992,9.756985,6.532595
AGZ,3FTx,13.633598,9.931738,6.094339
AHA,3FTx,14.065608,8.643864,6.3984184
AHB,3FTx,14.134309,8.753406,6.0972767
AHC,3FTx,13.853825,8.508268,6.3398786
AHD,3FTx,13.17687,9.861277,7.150815
AHE,3FTx,13.07356,10.21015,5.79871
AHF,3FTx,13.370194,9.172488,6.156762
AHG,3FTx,15.144614,10.874891,3.46451
AHH,3FTx,14.973806,10.624893,3.4237757
AHI,3FTx,15.073295,10.68583,3.3375788
AHJ,3FTx,14.837853,10.879782,3.5109472
AHK,3FTx,14.83033,11.081793,3.4288402
AHL,3FTx,14.77313,11.030369,3.3900828
AHM,3FTx,14.939063,10.816096,3.2755857
AHN,3FTx,14.689547,10.936084,3.5395865
AHO,3FTx,14.886373,10.9619055,3.197587
AHP,3FTx,14.8928385,10.938126,3.3909094
AHQ,3FTx,11.971048,6.976744,9.729014
AHR,3FTx,14.922224,10.963209,3.4467092
AHS,3FTx,14.751159,11.138793,3.6385343
AHT,3FTx,15.044306,10.785172,3.3620563
AHU,3FTx,14.360179,9.956926,3.9224281
AHV,3FTx,14.260513,9.847369,3.7402482
AHW,3FTx,14.4100065,10.04003,2.5169733
AHX,3FTx,14.662384,9.915657,2.5780196
AHY,3FTx,14.118388,10.03664,2.621568
AHZ,3FTx,14.311387,9.982005,2.6718874
AIA,3FTx,14.124139,9.985516,2.4994652
AIB,3FTx,11.777631,6.9522395,9.695295
AIC,3FTx,14.169851,10.233174,2.5570045
AID,3FTx,14.770512,10.529832,3.2557378
AIE,3FTx,14.1565485,10.468199,3.1783128
AIF,3FTx,15.12096,9.958683,3.416248
AIG,3FTx,15.082161,10.22973,3.1661663
AIH,3FTx,14.770134,9.865784,3.1630445
AII,3FTx,15.238732,10.062235,2.9386559
AIJ,3FTx,14.847931,9.869335,2.97275
AIK,3FTx,15.063377,10.039372,3.0580032
AIL,3FTx,15.094252,9.839754,3.021037
AIM,3FTx,12.033205,7.8572516,8.717609
AIN,3FTx,15.092154,9.829954,2.7798111
AIO,3FTx,14.982647,9.771899,3.1694365
AIP,3FTx,14.9637375,9.801339,3.0269759
AIQ,3FTx,15.000028,9.756655,3.1072507
AIR,3FTx,15.132475,9.970212,3.1145287
AIS,3FTx,14.106885,10.576905,3.441355
AIT,3FTx,14.188892,10.244433,3.3713818
AIU,3FTx,14.267096,10.314169,3.4428425
AIV,3FTx,14.490907,10.628223,2.9010537
AIW,3FTx,14.151124,10.442328,3.1739595
AIX,3FTx,12.038831,7.7743936,8.603333
AIY,3FTx,14.33345,10.025932,3.2153423
AIZ,3FTx,14.439765,10.104403,2.9915686
AJA,3FTx,14.180625,10.4453125,3.1374838
AJB,3FTx,14.353443,9.665534,2.9856257
AJC,3FTx,14.533859,9.798611,3.1487734
AJD,3FTx,14.634615,9.731889,3.0848489
AJE,3FTx,14.355786,9.764069,3.2196972
AJF,3FTx,14.628246,9.857821,2.9411445
AJG,3FTx,15.41435,9.792743,5.394741
AJH,3FTx,15.440661,9.357864,5.795503
AJI,3FTx,12.096942,7.5092144,9.36553
AJJ,3FTx,14.652588,10.344855,5.3801813
AJK,3FTx,15.490409,10.822171,5.748216
AJL,3FTx,14.92653,10.962254,5.246339
AJM,3FTx,15.195423,10.678175,5.4050384
AJN,3FTx,15.434572,10.745139,5.913202
AJO,3FTx,15.12234,11.193511,5.905261
AJP,3FTx,14.738097,10.806948,5.3181095
AJQ,3FTx,14.88056,10.672562,5.386917
AJR,3FTx,15.024283,10.916211,5.53206
AJS,3FTx,14.3681345,10.167569,5.8548474
AJT,3FTx,12.189474,7.317529,9.502725
AJU,3FTx,14.833194,9.218674,5.9838996
AJV,3FTx,14.350795,9.860058,4.1905556
AJW,3FTx,12.754864,9.981471,4.943679
AJX,3FTx,12.82648,10.023382,4.9382315
AJY,3FTx,12.915612,9.914545,4.9222054
AJZ,3FTx,12.919146,9.590004,5.206223
AKA,3FTx,12.772875,10.0067215,5.152293
AKB,3FTx,12.81363,10.010934,4.9859066
AKC,3FTx,13.484855,8.705236,5.086972
AKD,3FTx,13.306491,8.884025,5.041117
AKE,3FTx,12.125661,7.3073144,9.435959
AKF,3FTx,13.391902,8.589087,5.507674
AKG,3FTx,13.6499195,8.612386,5.321778
AKH,3FTx,13.425899,8.188684,5.531187
AKI,3FTx,13.131574,8.582373,5.359395
AKJ,3FTx,13.458591,8.240128,5.415982
AKK,3FTx,13.602189,8.487099,5.698578
AKL,3FTx,13.602697,8.615568,5.5942388
AKM,3FTx,13.262409,8.485784,5.198225
AKN,3FTx,13.329882,9.05825,5.3381596
AKO,3FTx,13.798947,9.027011,5.4282136
AKP,3FTx,12.321885,7.462499,8.54456
AKQ,3FTx,13.351394,8.989097,5.230949
AKR,3FTx,13.560222,8.895399,5.324332
AKS,3FTx,15.112812,10.173394,5.907517
AKT,3FTx,15.112723,10.3552,5.7470717
AKU,3FTx,15.258658,10.233744,5.472796
AKV,3FTx,15.094154,10.062886,5.587284
AKW,3FTx,15.203075,10.132072,5.551667
AKX,3FTx,14.873794,10.67762,5.179258
AKY,3FTx,14.975812,10.718635,5.563582
AKZ,3FTx,15.048336,10.5342045,5.328067
ALA,3FTx,11.729103,6.8618054,9.231685
ALB,3FTx,14.853336,10.526687,5.2063494
ALC,3FTx,14.990974,10.153464,4.962638
ALD,3FTx,14.681288,10.282299,5.0572634
ALE,3FTx,14.336328,10.274883,5.3916287
ALF,3FTx,14.57725,10.556134,5.594492
ALG,3FTx,14.634777,10.556557,5.43406
ALH,3FTx,15.071499,10.278824,5.309693
ALI,3FTx,14.814014,10.797858,5.320317
ALJ,3FTx,13.617343,11.252646,5.15474
ALK,3FTx,12.841976,11.405171,4.5557666
ALL,3FTx,12.05012,7.515263,8.276387
ALM,3FTx,11.13612,11.253631,8.192311
ALN,3FTx,13.066209,10.889717,7.523455
ALO,3FTx,12.77228,10.604348,7.675082
ALP,3FTx,12.3540745,11.551368,8.947941
ALQ,3FTx,12.512795,11.233173,8.904287
ALR,3FTx,12.79511,11.232983,9.069067
ALS,3FTx,12.833482,11.649111,9.101631
ALT,3FTx,12.901728,11.482362,9.05111
ALU,3FTx,12.853263,12.153323,8.722397
ALV,3FTx,12.798587,11.733548,8.594075
ALW,3FTx,12.959982,11.819102,8.481085
ALX,3FTx,12.245487,7.28742,8.730887
ALY,3FTx,12.683774,11.634592,8.6485615
ALZ,3FTx,13.081457,11.329153,8.7435055
AMA,3FTx,13.334099,11.316722,8.631922
AMB,3FTx,13.032287,11.365382,8.608961
AMC,3FTx,13.326953,11.224866,8.5773535
AMD,3FTx,13.218518,11.10821,8.593739
AME,3FTx,13.235827,11.22172,8.582753
AMF,3FTx,13.18483,11.213712,8.829812
AMG,3FTx,13.08592,11.060468,8.652299
AMH,3FTx,12.964241,12.185227,8.4115505
AMI,3FTx,11.477465,8.137503,8.574606
AMJ,3FTx,12.751737,12.130004,8.60306
AMK,3FTx,12.852501,12.166451,8.30788
AML,3FTx,12.882292,12.228394,8.168255
AMM,3FTx,12.994626,11.919399,8.453633
AMN,3FTx,12.841268,12.228342,8.636199
AMO,3FTx,12.87965,12.0845785,8.470466
AMP,3FTx,13.001753,12.013185,8.357619
AMQ,3FTx,12.509351,11.893844,8.515297
AMR,3FTx,12.50034,12.093829,8.316728
AMS,3FTx,12.698218,11.806448,8.389107
AMT,3FTx,11.340067,6.665124,9.077941
AMU,3FTx,12.697469,11.891944,8.196887
AMV,3FTx,13.063838,11.710106,8.067126
AMW,3FTx,13.145862,11.862477,7.923195
AMX,3FTx,13.239639,11.6892,7.887515
AMY,3FTx,13.106648,11.809945,7.7971573
AMZ,3FTx,13.335687,11.680595,8.069
ANA,3FTx,13.113197,11.46039,8.097176
ANB,3FTx,12.686082,11.830686,8.978504
ANC,3FTx,12.796663,11.599075,8.770104
AND,3FTx,12.664916,11.909625,8.770631
ANE,3FTx,11.632828,7.975566,8.544084
ANF,3FTx,12.840093,11.616866,8.767188
ANG,3FTx,12.977528,10.958656,8.108798
ANH,3FTx,12.197852,11.048846,8.57993
ANI,3FTx,12.187929,10.814017,8.286379
ANJ,3FTx,12.171144,10.783533,8.562981
ANK,3FTx,12.454423,10.675312,8.663111
ANL,3FTx,12.348347,11.000028,8.71232
ANM,3FTx,12.296374,10.92181,8.797888
ANN,3FTx,12.239439,10.917916,8.542272
ANO,3FTx,12.221007,10.903429,8.598111
ANP,3FTx,11.66317,6.942631,8.963305
ANQ,3FTx,12.184543,10.617295,8.12524
ANR,3FTx,12.159935,10.79963,8.713757
ANS,3FTx,12.401929,10.9447,7.7306604
ANT,3FTx,12.359991,10.841547,7.905067
ANU,3FTx,12.466769,11.18302,8.221606
ANV,3FTx,12.311783,11.425189,8.14224
ANW,3FTx,12.728981,11.3238125,8.068934
ANX,3FTx,12.388023,11.154178,8.416091
ANY,3FTx,12.365159,11.2183695,8.493939
ANZ,3FTx,12.56005,11.668461,7.752844
AOA,3FTx,12.883855,11.379721,7.87895
AOB,3FTx,12.651659,11.449356,8.087716
AOC,3FTx,12.613189,11.05925,8.356974
AOD,3FTx,12.55642,11.247526,8.6024065
AOE,3FTx,12.710183,11.413767,8.211181
AOF,3FTx,11.364913,10.80141,7.5677376
AOG,3FTx,11.735985,10.651999,7.433702
AOH,3FTx,11.526048,10.414044,7.6987624
AOI,3FTx,11.451731,10.326535,7.834033
AOJ,3FTx,11.641065,10.207334,7.5165114
AOK,3FTx,11.486376,10.536384,7.347442
AOL,3FTx,11.573071,10.457334,7.4280357
AOM,3FTx,11.225775,10.592771,7.749907
AON,3FTx,11.31316,10.41792,7.757885
AOO,3FTx,11.280224,10.506059,7.6881003
AOP,3FTx,11.357555,10.378134,7.838046
AOQ,3FTx,11.578559,10.195755,7.857723
AOR,3FTx,11.287464,10.531741,7.6604486
AOS,3FTx,11.251569,10.381729,7.75467
AOT,3FTx,11.29735,10.342562,7.54521
AOU,3FTx,11.20713,10.551778,7.7357445
AOV,3FTx,11.43077,10.491708,7.626359
AOW,3FTx,11.508025,10.64923,7.5457115
AOX,3FTx,11.682452,10.755973,7.541896
AOY,3FTx,11.6838875,10.473771,7.5803847
AOZ,3FTx,11.650355,10.484953,7.3898644
APA,3FTx,11.958049,10.51952,7.609122
APB,3FTx,11.688581,10.593885,7.487629
APC,3FTx,11.687292,10.418936,7.438268
APD,3FTx,11.830291,10.559139,7.6128683
APE,3FTx,11.716347,10.301251,7.6244164
APF,3FTx,12.461221,11.118591,7.48338
APG,3FTx,12.372647,11.164229,7.6404862
APH,3FTx,12.380782,11.264886,7.460461
API,3FTx,12.702539,11.5147915,7.3606625
APJ,3FTx,12.429373,11.308696,7.4052763
APK,3FTx,12.313065,11.368152,7.4578376
APL,3FTx,12.059976,11.077616,7.6677656
APM,3FTx,12.229693,11.271958,7.6523924
APN,3FTx,12.578598,11.476573,7.5405636
APO,3FTx,12.465922,11.419129,7.377071
APP,3FTx,11.972076,11.174727,8.642686
APQ,3FTx,12.241591,11.073454,8.726558
APR,3FTx,11.668914,6.887289,9.002404
APS,3FTx,11.932906,7.3956046,8.723714
APT,3FTx,11.680896,7.2028213,8.592326
APU,3FTx,11.763901,7.107272,8.757587
APV,3FTx,11.766342,7.288752,8.640904
APW,3FTx,11.3755245,6.905654,8.966283
APX,3FTx,15.37916,8.377346,6.7383194
APY,3FTx,15.416441,8.107615,6.745212
APZ,3FTx,15.243644,8.760423,6.8227906
AQA,3FTx,15.144151,8.897067,6.794585
AQB,3FTx,15.392131,8.679182,6.9336557
AQC,3FTx,14.316384,10.839426,7.1588025
AQD,3FTx,14.663702,10.65976,7.0765963
AQE,3FTx,11.792071,7.465519,8.296858
AQF,3FTx,14.6304455,10.660298,6.81145
AQG,3FTx,14.604695,10.711403,7.208836
AQH,3FTx,14.3526325,10.61373,7.269458
AQI,3FTx,14.581791,10.618468,7.127136
AQJ,3FTx,14.525654,10.580898,7.2164617
AQK,3FTx,14.512271,10.512771,7.266764
AQL,3FTx,14.308907,10.431638,7.4552283
AQM,3FTx,14.441416,10.552145,7.2120757
AQN,3FTx,14.571947,10.669208,7.42357
AQO,3FTx,14.614008,10.558077,7.323623
AQP,3FTx,11.902703,7.3205094,8.281588
AQQ,3FTx,14.422415,10.445068,7.3984995
AQR,3FTx,14.618116,10.665439,7.339407
AQS,3FTx,14.335388,10.215601,6.3653197
AQT,3FTx,14.768972,10.905736,4.351946
AQU,3FTx,14.555543,10.663699,4.2152977
AQV,3FTx,14.584485,10.810661,4.228628
AQW,3FTx,14.128004,9.544697,3.7222695
AQX,3FTx,14.1023035,10.51678,3.4281783
AQY,3FTx,14.015126,11.189567,3.7241683
AQZ,3FTx,14.05264,10.464589,2.6975417
ARA,3FTx,11.013857,7.755684,8.363474
ARB,3FTx,14.311544,10.162069,2.510232
ARC,3FTx,14.335604,10.167073,2.6453915
ARD,3FTx,14.400328,10.337805,2.468598
ARE,3FTx,14.379705,9.179065,5.182233
ARF,3FTx,14.897009,9.455982,5.185724
ARG,3FTx,14.688114,8.969403,5.137413
ARH,3FTx,14.710196,8.814521,5.190647
ARI,3FTx,15.300172,10.110888,5.583107
ARJ,3FTx,14.697883,9.174132,4.8818116
ARK,3FTx,15.064558,8.789509,5.236993
ARL,3FTx,11.676426,7.09279,8.697013
ARM,3FTx,14.679665,8.85855,4.928785
ARN,3FTx,14.691131,9.892849,4.8147855
ARO,3FTx,14.448975,10.66191,4.8129315
ARP,3FTx,14.895505,9.515572,4.5947313
ARQ,3FTx,14.509459,9.180926,4.097696
ARR,3FTx,14.361725,9.242818,4.103302
ARS,3FTx,14.466687,9.136336,3.9988327
ART,3FTx,14.54359,9.242218,3.8793314
ARU,3FTx,14.6117,8.950489,4.3151455
ARV,3FTx,15.087245,8.968418,4.766105
ARW,3FTx,12.248093,9.8118,6.604378
ARX,3FTx,14.814134,9.578722,4.5698204
ARY,3FTx,14.738336,8.799538,4.57356
ARZ,3FTx,14.856207,9.1523905,4.322252
ASA,3FTx,14.8444,9.205816,4.3310733
ASB,3FTx,14.8622465,9.147113,4.3652377
ASC,3FTx,14.864181,9.212918,4.425079
ASD,3FTx,14.761613,9.366386,4.5705748
ASE,3FTx,14.908737,8.986174,4.620644
ASF,3FTx,14.908093,8.924853,4.4693727
ASG,3FTx,12.305427,9.787503,5.21471
ASH,3FTx,11.688547,7.6547184,8.729788
ASI,3FTx,13.072905,11.3877,5.7144146
ASJ,3FTx,13.126931,11.410959,5.579164
ASK,3FTx,12.121336,9.521678,4.992029
ASL,3FTx,12.142514,9.734763,4.9784245
ASM,3FTx,11.874349,9.6011305,4.7839704
ASN,3FTx,11.811193,9.51993,4.968975
ASO,3FTx,11.852516,9.504432,4.931537
ASP,3FTx,11.9386425,9.510553,4.82437
ASQ,3FTx,12.034488,9.719783,4.905347
ASR,3FTx,12.007309,9.654834,4.749333
ASS,3FTx,11.58529,7.792517,8.955602
AST,3FTx,12.026221,9.431728,4.994766
ASU,3FTx,11.951894,9.624515,4.882873
ASV,3FTx,14.3377905,9.629189,4.6527247
ASW,3FTx,14.584695,9.67361,4.6612825
ASX,3FTx,14.713563,9.7135935,5.454489
ASY,3FTx,14.284518,9.260831,5.2234645
ASZ,3FTx,14.469499,9.693605,5.354812
ATA,3FTx,14.331473,9.59692,5.2840147
ATB,3FTx,14.477503,9.424975,5.0867863
ATC,3FTx,14.409065,9.820811,5.0981064
ATD,3FTx,11.796428,7.240751,9.317905
ATE,3FTx,14.552209,9.508207,5.2832775
ATF,3FTx,14.287092,9.37794,5.2623096
ATG,3FTx,14.172316,9.641229,5.303763
ATH,3FTx,14.1526375,9.581915,5.32258
ATI,3FTx,14.397774,9.471269,5.4774156
ATJ,3FTx,15.313693,10.433065,5.461423
ATK,3FTx,14.369171,10.246791,5.0647492
ATL,3FTx,15.467147,11.006444,5.7391424
ATM,3FTx,15.242995,11.0401745,5.6717277
ATN,3FTx,15.32874,11.141696,5.7257943
ATO,3FTx,11.547169,7.8256507,9.031311
ATP,3FTx,15.319463,10.954489,5.587609
ATQ,3FTx,15.367492,10.971378,5.6299267
ATR,3FTx,15.265702,10.836965,5.685506
ATS,3FTx,15.321114,10.955318,5.7411575
ATT,3FTx,15.094155,10.571673,5.586071
ATU,3FTx,15.166604,9.913592,5.2508507
ATV,3FTx,15.296218,10.213175,5.575359
ATW,3FTx,15.172697,9.992387,5.4287534
ATX,3FTx,13.366403,8.948762,5.1616096
ATY,3FTx,13.047351,8.904551,5.4215426
ATZ,3FTx,11.689864,7.9779677,8.999503
AUA,3FTx,11.636052,8.066875,8.793302
AUB,3FTx,12.846301,8.890721,5.0821176
AUC,3FTx,14.571583,9.1827,5.413688
AUD,3FTx,15.014843,9.105847,5.83211
AUE,3FTx,14.794385,9.033525,5.8993554
AUF,3FTx,14.909547,9.132474,5.871659
AUG,3FTx,14.79229,9.237576,5.883227
AUH,3FTx,14.634585,9.106897,5.673578
AUI,3FTx,14.869265,9.306225,5.7479935
AUJ,3FTx,14.721898,9.35324,5.7446003
AUK,3FTx,15.197901,8.250633,5.74572
AUL,3FTx,11.841072,7.633262,9.092559
AUM,3FTx,15.283191,8.584284,5.971758
AUN,3FTx,15.079175,8.8066845,5.7739058
AUO,3FTx,15.425811,7.905143,6.112936
AUP,3FTx,15.36139,8.049318,5.9542446
AUQ,3FTx,15.377744,7.780826,6.233165
AUR,3FTx,15.226891,7.7933183,6.159372
AUS,3FTx,15.338842,7.952337,6.2663064
AUT,3FTx,14.821477,9.085921,5.501376
AUU,3FTx,14.659968,9.333617,5.636746
AUV,3FTx,14.633679,9.598503,5.6008396
AUW,3FTx,11.72033,7.6181145,9.261653
AUX,3FTx,14.972221,9.3178215,5.8250566
AUY,3FTx,15.573389,7.962046,6.297103
AUZ,3FTx,15.466563,7.657386,6.2581143
AVA,3FTx,12.711046,8.967528,4.538837
AVB,3FTx,12.722103,9.443305,4.3641615
AVC,3FTx,12.641725,9.246424,4.323657
AVD,3FTx,12.669611,9.239267,4.286926
AVE,3FTx,12.691089,9.190256,4.413197
AVF,3FTx,12.842608,9.250286,4.31538
AVG,3FTx,12.806303,9.089101,4.5620575
AVH,3FTx,12.134715,11.930463,8.349354
AVI,3FTx,13.432191,9.572865,5.3180885
AVJ,3FTx,14.225013,10.758957,5.4414806
AVK,3FTx,14.235758,11.014396,5.1880574
AVL,3FTx,14.2777815,10.779706,5.0424385
AVM,3FTx,14.160603,10.630036,5.119722
AVN,3FTx,14.311397,10.7053385,5.273587
AVO,3FTx,11.384057,7.0921507,8.8490095
AVP,3FTx,11.436233,7.347733,8.964301
AVQ,3FTx,10.993435,7.372721,8.560272
AVR,3FTx,11.151082,7.384887,8.771384
AVS,3FTx,11.333646,7.538327,8.223155
AVT,3FTx,11.142564,7.5299478,8.585973
AVU,3FTx,11.378186,7.792933,8.314056
AVV,3FTx,11.870852,8.112525,8.520423
AVW,3FTx,10.991782,7.776078,8.286514
